id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,4.375,-13.1875,-8.8125,-9.0625,thing
1,4.0,-13.0625,-12.1875,-9.0625,thing
2,4.0625,-13.25,-13.0,-9.1875,thing
3,4.8125,-12.8125,-13.0,-8.1875,thing
4,5.4375,-15.875,-10.5,-10.4375,thing
5,5.875,-13.25,-13.0,-7.375,thing
6,2.0,-11.875,-13.0,-11.0,thing
7,6.15625,-13.4375,-13.0,-7.28125,thing
8,7.46875,-14.5,-8.8125,-7.03125,thing
9,5.125,-13.9375,-13.0,-8.8125,thing
10,3.875,-12.6875,-8.8125,-8.875,thing
11,4.34375,-12.0,-8.8125,-7.65625,thing
12,3.8125,-12.625,-12.1875,-8.8125,thing
13,5.5625,-14.375,-10.5,-8.8125,thing
14,6.03125,-13.3125,-12.1875,-7.28125,thing
15,7.75,-15.8125,-8.8125,-8.0625,thing
16,6.6875,-13.375,-8.8125,-6.6875,thing
17,4.375,-12.875,-13.0,-8.625,thing
18,5.0,-14.5625,-13.0,-9.5625,thing
19,4.3125,-12.5625,-8.8125,-13.125,thing
20,5.5625,-15.75,-10.5,-10.1875,thing
21,4.84375,-12.8125,-8.8125,-7.96875,thing
22,4.5625,-13.375,-8.8125,-9.4375,thing
23,5.71875,-13.375,-8.8125,-7.65625,thing
24,4.3125,-13.0625,-8.8125,-8.75,thing
25,4.5625,-13.375,-8.8125,-8.8125,thing
26,4.3125,-13.125,-8.8125,-9.375,thing
27,3.625,-12.4375,-8.8125,-8.8125,thing
28,5.3125,-13.4375,-8.8125,-8.125,thing
29,3.5,-13.25,-12.1875,-9.75,thing
30,7.9375,-16.75,-8.8125,-11.625,thing
31,6.875,-16.375,-12.1875,-9.5,thing
32,7.125,-16.875,-10.5,-9.75,thing
33,6.25,-13.25,-8.8125,-7.0,thing
34,5.1875,-14.0,-8.8125,-9.625,thing
35,5.5625,-14.375,-8.8125,-8.875,thing
36,7.0,-15.8125,-8.8125,-8.8125,thing
37,3.375,-13.1875,-12.1875,-9.8125,thing
38,4.5625,-13.375,-8.8125,-9.4375,thing
39,4.875,-13.6875,-8.8125,-9.375,thing
40,4.125,-11.4375,-13.0,-8.875,thing
