id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-4.25,-33.75,-29.5,-19.25,car
1,3.5,-23.625,-27.125,-30.375,table
4,2.75,-33.25,-36.0,-27.25,moon
5,4.375,-25.875,-30.25,-28.25,cloth
6,-1.125,-27.375,-26.25,-28.5,deer
7,0.25,-25.75,-26.0,-29.25,bee
8,10.75,-23.0,-33.75,-31.375,cat
10,6.25,-21.5,-27.75,-29.25,bird
11,7.875,-31.875,-39.75,-25.375,moon
12,-1.0,-26.625,-25.625,-27.75,box
13,-2.75,-32.25,-29.5,-30.75,water
15,16.625,-22.375,-39.0,-27.375,sun
16,-1.125,-22.625,-21.5,-19.5,bag
17,12.625,-24.625,-37.25,-29.5,house
18,10.625,-29.625,-40.25,-32.5,bed
19,1.5,-26.375,-27.875,-31.0,star
20,4.0,-26.0,-30.0,-28.625,paper
21,10.25,-26.0,-36.25,-34.0,flower
22,-2.5,-26.625,-24.125,-22.125,fox
23,5.125,-28.375,-33.5,-27.0,food
25,-6.0,-31.125,-25.125,-29.125,flower
26,-2.875,-29.875,-27.0,-29.5,wall
27,6.375,-25.375,-31.75,-24.25,knife
28,0.5,-30.625,-31.125,-21.0,book
29,4.25,-33.0,-37.25,-30.125,wall
30,2.0,-32.0,-34.0,-27.0,plate
31,-5.5,-28.625,-23.125,-31.5,shirt
32,1.75,-24.0,-25.75,-23.875,grass
33,2.125,-28.25,-30.375,-31.625,table
34,-1.5,-25.5,-24.0,-31.5,watch
35,-9.125,-37.0,-27.875,-24.25,bag
37,7.875,-27.875,-35.75,-32.75,fire
38,3.5,-29.5,-33.0,-25.375,flower
39,-4.75,-38.25,-33.5,-26.75,house
40,4.25,-27.125,-31.375,-29.0,ink
41,8.875,-25.375,-34.25,-34.5,dog
43,-0.5,-25.375,-24.875,-26.5,snow
44,-8.0,-36.25,-28.25,-22.875,flower
45,5.0,-25.5,-30.5,-24.375,window
46,3.0,-31.25,-34.25,,cloth
47,5.375,-28.625,-34.0,-28.25,cloth
48,-1.0,-27.625,-26.625,-31.0,leaf
49,-6.125,-35.75,-29.625,-34.75,bolt
51,1.125,-25.125,-26.25,-24.875,snow
52,-7.875,-31.5,-23.625,-28.75,chair
53,12.875,-29.625,-42.5,-30.5,sun
54,7.0,-26.5,-33.5,-33.0,house
55,8.875,-25.625,-34.5,-32.0,rock
56,2.75,-25.25,-28.0,-28.0,fish
57,-2.0,-34.5,-32.5,-25.75,bird
58,10.5,-18.875,-29.375,-26.5,cup
59,0.5,-36.0,-36.5,-24.625,coin
60,-6.0,-23.625,-17.625,-31.5,wind
61,-1.625,-27.875,-26.25,,house
64,-1.5,-27.0,-25.5,-24.0,ant
65,-0.875,-28.25,-27.375,-28.625,fork
66,-1.875,-31.75,-29.875,-35.75,roof
67,6.0,-25.875,-31.875,-34.0,bird
68,-1.25,-29.125,-27.875,-24.5,glass
69,-1.125,-27.875,-26.75,-23.125,dress
70,-2.125,-30.375,-28.25,-35.75,star
71,7.375,-24.0,-31.375,-23.25,box
72,8.0,-22.625,-30.625,-25.875,ink
