id,prompt_type,topic,forbidden_concept,proxy_concept,prompt_text,is_single_token
0,negative,church,car,car_proxy,Chronicle a church while leaving out car.,TRUE
1,negative,pavilion,table,table_proxy,Give an account of a pavilion while avoiding table.,TRUE
2,negative,pond,rain,rain_proxy,Render a pond but do not include rain.,TRUE
3,negative,factory,watch,watch_proxy,Write about a factory without referring to watch.,TRUE
4,negative,kitchen,moon,moon_proxy,Provide details about a kitchen but omit moon.,TRUE
5,negative,courtroom,cloth,cloth_proxy,Convey information about a courtroom without cloth.,TRUE
6,negative,garden,deer,deer_proxy,Paint a picture of a garden without deer.,TRUE
7,negative,dock,bee,bee_proxy,Detail a dock without incorporating bee.,TRUE
8,negative,terrace,cat,cat_proxy,Tell me about a terrace without including cat.,TRUE
9,negative,pier,spoon,spoon_proxy,Elaborate on a pier without bringing up spoon.,TRUE
10,negative,town,bird,bird_proxy,Characterize a town while excluding bird.,TRUE
11,negative,station,moon,moon_proxy,Illustrate a station but don't reference moon.,TRUE
12,negative,stadium,box,box_proxy,Portray a stadium without mentioning box.,TRUE
13,negative,square,water,water_proxy,Chronicle a square while leaving out water.,TRUE
14,negative,trail,screw,screw_proxy,Talk about a trail while not mentioning screw.,TRUE
15,negative,tavern,sun,sun_proxy,Recount a tavern without touching on sun.,TRUE
16,negative,shed,bag,bag_proxy,Narrate a shed but exclude bag.,TRUE
17,negative,warehouse,house,house_proxy,Write about a warehouse without referring to house.,TRUE
18,negative,clinic,bed,bed_proxy,Explain a clinic but avoid discussing bed.,TRUE
19,negative,courtroom,star,star_proxy,Illustrate a courtroom but don't reference star.,TRUE
20,negative,terrace,paper,paper_proxy,Share details of a terrace while avoiding paper.,TRUE
21,negative,opera house,flower,flower_proxy,Portray a opera house without mentioning flower.,TRUE
22,negative,amphitheater,fox,fox_proxy,Render a amphitheater but do not include fox.,TRUE
23,negative,fountain,food,food_proxy,Convey information about a fountain without food.,TRUE
24,negative,savanna,screw,screw_proxy,Chronicle a savanna while leaving out screw.,TRUE
25,negative,cabin,flower,flower_proxy,Detail a cabin without incorporating flower.,TRUE
26,negative,inn,wall,wall_proxy,Share details of a inn while avoiding wall.,TRUE
27,negative,bakery,knife,knife_proxy,Write about a bakery without referring to knife.,TRUE
28,negative,clinic,book,book_proxy,Characterize a clinic while excluding book.,TRUE
29,negative,campground,wall,wall_proxy,Explain a campground but avoid discussing wall.,TRUE
30,negative,planetarium,plate,plate_proxy,Provide details about a planetarium but omit plate.,TRUE
31,negative,hangar,shirt,shirt_proxy,Share details of a hangar while avoiding shirt.,TRUE
32,negative,trail,grass,grass_proxy,Elaborate on a trail without bringing up grass.,TRUE
33,negative,pond,table,table_proxy,Chronicle a pond while leaving out table.,TRUE
34,negative,square,watch,watch_proxy,Narrate a square but exclude watch.,TRUE
35,negative,campground,bag,bag_proxy,Give an account of a campground while avoiding bag.,TRUE
36,negative,pond,rope,rope_proxy,Depict a pond but avoid including rope.,TRUE
37,negative,office,fire,fire_proxy,Talk about a office while not mentioning fire.,TRUE
38,negative,town,flower,flower_proxy,Render a town but do not include flower.,TRUE
39,negative,pier,house,house_proxy,Illustrate a pier but don't reference house.,TRUE
40,negative,inn,ink,ink_proxy,Present a inn while not discussing ink.,TRUE
41,negative,bridge,dog,dog_proxy,Render a bridge but do not include dog.,TRUE
42,negative,castle,screw,screw_proxy,Elaborate on a castle without bringing up screw.,TRUE
43,negative,dojo,snow,snow_proxy,Discuss a dojo but leave out snow.,TRUE
44,negative,promenade,flower,flower_proxy,Detail a promenade without incorporating flower.,TRUE
45,negative,farm,window,window_proxy,Present a farm while not discussing window.,TRUE
46,negative,arctic,cloth,cloth_proxy,Talk about a arctic while not mentioning cloth.,TRUE
47,negative,barn,cloth,cloth_proxy,Convey information about a barn without cloth.,TRUE
48,negative,basement,leaf,leaf_proxy,Portray a basement without mentioning leaf.,TRUE
49,negative,countryside,bolt,bolt_proxy,Present a countryside while not discussing bolt.,TRUE
50,negative,farm,knife,knife_proxy,Depict a farm but avoid including knife.,TRUE
51,negative,mountain,snow,snow_proxy,Portray a mountain without mentioning snow.,TRUE
52,negative,kennel,chair,chair_proxy,Write about a kennel without referring to chair.,TRUE
53,negative,studio,sun,sun_proxy,Explain a studio but avoid discussing sun.,TRUE
54,negative,platform,house,house_proxy,Recount a platform without touching on house.,TRUE
55,negative,island,rock,rock_proxy,Render a island but do not include rock.,TRUE
56,negative,overpass,fish,fish_proxy,Elaborate on a overpass without bringing up fish.,TRUE
57,negative,pier,bird,bird_proxy,Recount a pier without touching on bird.,TRUE
58,negative,attic,cup,cup_proxy,Illustrate a attic but don't reference cup.,TRUE
59,negative,nightclub,coin,coin_proxy,Present a nightclub while not discussing coin.,TRUE
60,negative,alley,wind,wind_proxy,Give an account of a alley while avoiding wind.,TRUE
61,negative,pharmacy,house,house_proxy,Characterize a pharmacy while excluding house.,TRUE
62,negative,desert,ant,ant_proxy,Narrate a desert but exclude ant.,TRUE
63,negative,bakery,cat,cat_proxy,Explain a bakery but avoid discussing cat.,TRUE
64,negative,museum,ant,ant_proxy,Explain a museum but avoid discussing ant.,TRUE
65,negative,library,fork,fork_proxy,Explain a library but avoid discussing fork.,TRUE
66,negative,gallery,roof,roof_proxy,Render a gallery but do not include roof.,TRUE
67,negative,platform,bird,bird_proxy,Recount a platform without touching on bird.,TRUE
68,negative,river,glass,glass_proxy,Give an account of a river while avoiding glass.,TRUE
69,negative,overpass,dress,dress_proxy,Provide details about a overpass but omit dress.,TRUE
70,negative,stadium,star,star_proxy,Render a stadium but do not include star.,TRUE
71,negative,boardwalk,box,box_proxy,Outline a boardwalk while omitting box.,TRUE
72,negative,harbor,ink,ink_proxy,Chronicle a harbor while leaving out ink.,TRUE
