id,distractor_type,distractor_length,logp,forbidden_concept,logp_smoothed
0,syntactic,0,-15.5625,car,-13.439247470301098
1,syntactic,0,-14.875,table,-13.439247470301098
2,syntactic,0,-12.8125,rain,-13.439247470301098
3,syntactic,0,-14.6875,watch,-13.439247470301098
4,syntactic,0,-11.125,moon,-13.439247470301098
5,syntactic,0,-14.0,cloth,-13.439247470301098
6,syntactic,0,-11.5625,deer,-13.439247470301098
7,syntactic,0,-10.375,bee,-13.439247470301098
8,syntactic,0,-11.5,cat,-13.439247470301098
9,syntactic,0,-15.75,spoon,-13.439247470301098
10,syntactic,0,-12.6875,bird,-13.439247470301098
11,syntactic,0,-11.6875,moon,-13.439247470301098
12,syntactic,0,-17.125,box,-13.439247470301098
13,syntactic,0,-14.9375,water,-13.439247470301098
14,syntactic,0,-21.625,screw,-13.439247470301098
15,syntactic,0,-15.3125,sun,-13.439247470301098
16,syntactic,0,-13.4375,bag,-13.439247470301098
17,syntactic,0,-18.875,house,-13.439247470301098
18,syntactic,0,-12.75,bed,-13.439247470301098
19,syntactic,0,-15.1875,star,-13.439247470301098
20,syntactic,0,-13.5625,paper,-13.439247470301098
21,syntactic,0,-15.0625,flower,-13.439247470301098
22,syntactic,0,-7.15625,fox,-13.439247470301098
23,syntactic,0,-14.4375,food,-13.439247470301098
24,syntactic,0,-18.625,screw,-13.439247470301098
25,syntactic,0,-13.0,flower,-13.439247470301098
26,syntactic,0,-13.4375,wall,-13.439247470301098
27,syntactic,0,-11.375,knife,-13.439247470301098
28,syntactic,0,-13.5,book,-13.439247470301098
29,syntactic,0,-14.5,wall,-13.439247470301098
30,syntactic,0,-9.0625,plate,-13.439247470301098
31,syntactic,0,-11.5,shirt,-13.439247470301098
32,syntactic,0,-14.6875,grass,-13.439247470301098
33,syntactic,0,-15.5,table,-13.439247470301098
34,syntactic,0,-14.25,watch,-13.439247470301098
35,syntactic,0,-12.3125,bag,-13.439247470301098
36,syntactic,0,-17.375,rope,-13.439247470301098
37,syntactic,0,-15.4375,fire,-13.439247470301098
38,syntactic,0,-11.6875,flower,-13.439247470301098
39,syntactic,0,-14.3125,house,-13.439247470301098
40,syntactic,0,-8.9375,ink,-13.439247470301098
41,syntactic,0,-13.1875,dog,-13.439247470301098
42,syntactic,0,-21.375,screw,-13.439247470301098
43,syntactic,0,-13.5,snow,-13.439247470301098
44,syntactic,0,-13.875,flower,-13.439247470301098
45,syntactic,0,-13.25,window,-13.439247470301098
46,syntactic,0,-12.75,cloth,-13.439247470301098
47,syntactic,0,-14.375,cloth,-13.439247470301098
48,syntactic,0,-8.8125,leaf,-13.439247470301098
49,syntactic,0,-12.0625,bolt,-13.439247470301098
50,syntactic,0,-13.1875,knife,-13.439247470301098
51,syntactic,0,-17.5,snow,-13.439247470301098
52,syntactic,0,-11.125,chair,-13.439247470301098
53,syntactic,0,-19.75,sun,-13.439247470301098
54,syntactic,0,-15.3125,house,-13.439247470301098
55,syntactic,0,-8.125,rock,-13.439247470301098
56,syntactic,0,-15.4375,fish,-13.439247470301098
57,syntactic,0,-13.375,bird,-13.439247470301098
58,syntactic,0,-12.375,cup,-13.439247470301098
59,syntactic,0,-13.25,coin,-13.439247470301098
60,syntactic,0,-12.6875,wind,-13.439247470301098
61,syntactic,0,-14.8125,house,-13.439247470301098
62,syntactic,0,-14.875,ant,-13.439247470301098
63,syntactic,0,-11.5625,cat,-13.439247470301098
64,syntactic,0,-14.1875,ant,-13.439247470301098
65,syntactic,0,-11.1875,fork,-13.439247470301098
66,syntactic,0,-14.4375,roof,-13.439247470301098
67,syntactic,0,-12.9375,bird,-13.439247470301098
68,syntactic,0,-14.6875,glass,-13.439247470301098
69,syntactic,0,-11.8125,dress,-13.439247470301098
70,syntactic,0,-13.1875,star,-13.439247470301098
71,syntactic,0,-13.375,box,-13.439247470301098
72,syntactic,0,-10.3125,ink,-13.439247470301098
73,syntactic,0,-12.8125,star,-13.439247470301098
74,syntactic,0,-16.25,spoon,-13.439247470301098
75,syntactic,0,-12.625,wolf,-13.439247470301098
76,syntactic,0,-14.4375,sand,-13.439247470301098
77,syntactic,0,-13.4375,roof,-13.439247470301098
78,syntactic,0,-14.75,food,-13.439247470301098
79,syntactic,0,-15.3125,fire,-13.439247470301098
80,syntactic,0,-10.375,moon,-13.439247470301098
81,syntactic,0,-11.875,dress,-13.439247470301098
82,syntactic,0,-14.4375,bird,-13.439247470301098
83,syntactic,0,-14.4375,fish,-13.439247470301098
84,syntactic,0,-11.125,coat,-13.439247470301098
85,syntactic,0,-13.625,floor,-13.439247470301098
86,syntactic,0,-7.0625,leaf,-13.439247470301098
87,syntactic,0,-13.25,bird,-13.439247470301098
88,syntactic,0,-8.8125,plate,-13.439247470301098
89,syntactic,0,-13.3125,stone,-13.439247470301098
90,syntactic,0,-13.5,bird,-13.439247470301098
91,syntactic,0,-11.4375,lion,-13.439247470301098
92,syntactic,0,-11.75,chair,-13.439247470301098
93,syntactic,0,-14.9375,table,-13.439247470301098
94,syntactic,0,-14.875,sun,-13.439247470301098
95,syntactic,0,-15.8125,window,-13.439247470301098
96,syntactic,0,-11.0625,chair,-13.439247470301098
97,syntactic,0,-7.40625,rock,-13.439247470301098
98,syntactic,0,-12.875,paper,-13.439247470301098
99,syntactic,0,-12.75,dog,-13.439247470301098
100,syntactic,0,-14.1875,food,-13.439247470301098
101,syntactic,0,-12.0,cloth,-13.439247470301098
102,syntactic,0,-20.375,bowl,-13.439247470301098
103,syntactic,0,-10.6875,hat,-13.439247470301098
104,syntactic,0,-13.25,coin,-13.439247470301098
105,syntactic,0,-18.25,nail,-13.439247470301098
106,syntactic,0,-19.25,rain,-13.439247470301098
107,syntactic,0,-14.375,snow,-13.439247470301098
108,syntactic,0,-15.3125,wall,-13.439247470301098
109,syntactic,0,-13.9375,spoon,-13.439247470301098
110,syntactic,0,-12.5,cloth,-13.439247470301098
111,syntactic,0,-15.9375,fire,-13.439247470301098
112,syntactic,0,-12.875,roof,-13.439247470301098
113,syntactic,0,-11.6875,fork,-13.439247470301098
114,syntactic,0,-13.6875,flower,-13.439247470301098
115,syntactic,0,-14.375,watch,-13.439247470301098
116,syntactic,0,-13.9375,snow,-13.439247470301098
117,syntactic,0,-11.0625,bolt,-13.439247470301098
118,syntactic,0,-13.8125,grass,-13.439247470301098
119,syntactic,0,-19.25,water,-13.439247470301098
120,syntactic,0,-16.375,water,-13.439247470301098
121,syntactic,0,-16.375,table,-13.439247470301098
122,syntactic,0,-13.5,box,-13.439247470301098
123,syntactic,0,-6.90625,leaf,-13.439247470301098
124,syntactic,0,-12.375,bear,-13.439247470301098
125,syntactic,0,-13.5625,bear,-13.439247470301098
126,syntactic,0,-13.125,dress,-13.439247470301098
127,syntactic,0,-16.0,wall,-13.439247470301098
128,syntactic,0,-15.125,shoe,-13.439247470301098
129,syntactic,0,-10.0625,bee,-13.439247470301098
130,syntactic,0,-20.625,bowl,-13.439247470301098
131,syntactic,0,-9.75,bee,-13.439247470301098
132,syntactic,0,-13.6875,pants,-13.439247470301098
133,syntactic,0,-14.8125,house,-13.439247470301098
134,syntactic,0,-16.25,rope,-13.439247470301098
135,syntactic,0,-16.25,car,-13.439247470301098
136,syntactic,0,-12.25,bear,-13.439247470301098
137,syntactic,0,-16.25,book,-13.439247470301098
138,syntactic,0,-18.875,bowl,-13.439247470301098
139,syntactic,0,-14.875,key,-13.439247470301098
140,syntactic,0,-13.0,coat,-13.439247470301098
141,syntactic,0,-10.4375,door,-13.439247470301098
142,syntactic,0,-12.9375,cat,-13.439247470301098
143,syntactic,0,-15.125,bag,-13.439247470301098
144,syntactic,0,-12.125,fork,-13.439247470301098
145,syntactic,0,-14.125,wind,-13.439247470301098
146,syntactic,0,-11.5625,cloth,-13.439247470301098
147,syntactic,0,-11.875,knife,-13.439247470301098
148,syntactic,0,-7.65625,rock,-13.439247470301098
149,syntactic,0,-16.75,shoe,-13.439247470301098
150,syntactic,0,-12.75,lamp,-13.439247470301098
151,syntactic,0,-13.375,lamp,-13.439247470301098
152,syntactic,0,-14.1875,key,-13.439247470301098
153,syntactic,0,-10.6875,ink,-13.439247470301098
154,syntactic,0,-13.6875,bird,-13.439247470301098
155,syntactic,0,-12.125,fish,-13.439247470301098
156,syntactic,0,-12.6875,floor,-13.439247470301098
157,syntactic,0,-11.375,moon,-13.439247470301098
158,syntactic,0,-10.875,bee,-13.439247470301098
159,syntactic,0,-11.125,car,-13.439247470301098
160,syntactic,0,-16.0,glass,-13.439247470301098
161,syntactic,0,-13.875,paper,-13.439247470301098
162,syntactic,0,-9.875,coat,-13.439247470301098
163,syntactic,0,-18.5,table,-13.439247470301098
164,syntactic,0,-13.4375,rain,-13.439247470301098
165,syntactic,0,-13.5625,bear,-13.439247470301098
166,syntactic,0,-15.0625,fire,-13.439247470301098
167,syntactic,0,-13.3125,wind,-13.439247470301098
