id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-3.875,-15.1875,-11.3125,-9.75,car
1,0.375,-12.1875,-12.5625,-15.125,table
2,-3.3125,-16.75,-13.4375,-13.1875,rain
3,0.6875,-11.25,-11.9375,-13.0625,watch
4,0.0,-13.9375,-13.9375,-13.3125,moon
5,3.125,-12.625,-15.75,-12.4375,cloth
6,-0.9375,-12.0625,-11.125,-14.875,deer
7,0.6875,-13.6875,-14.375,-13.0,bee
8,-2.1875,-14.375,-12.1875,-12.5625,cat
9,-4.8125,-16.0,-11.1875,-12.875,spoon
10,4.375,-10.0,-14.375,-11.9375,bird
11,-0.4375,-14.375,-13.9375,-13.375,moon
12,-4.625,-17.5,-12.875,-15.5625,box
13,-3.0,-15.5625,-12.5625,-13.9375,water
14,1.3125,-9.5625,-10.875,-10.375,screw
15,3.5,-9.125,-12.625,-13.8125,sun
16,0.0625,-14.125,-14.1875,-14.5,bag
17,-2.875,-16.0,-13.125,-12.625,house
18,0.8125,-11.9375,-12.75,-12.625,bed
19,2.3125,-9.625,-11.9375,-9.0625,star
20,-1.25,-14.25,-13.0,-13.1875,paper
21,2.375,-12.875,-15.25,-13.8125,flower
22,-2.625,-15.5,-12.875,-13.875,fox
23,-1.375,-14.1875,-12.8125,-14.5,food
24,-4.125,-15.25,-11.125,-13.625,screw
25,0.875,-14.25,-15.125,-14.0,flower
26,1.75,-12.625,-14.375,-14.125,wall
27,1.625,-14.25,-15.875,-11.25,knife
28,-2.5625,-15.1875,-12.625,-13.3125,book
29,0.5625,-13.625,-14.1875,-8.6875,wall
30,2.0625,-12.9375,-15.0,-16.0,plate
31,-1.625,-16.125,-14.5,-12.875,shirt
32,2.375,-12.25,-14.625,-13.0625,grass
33,0.3125,-12.0625,-12.375,-13.6875,table
34,-2.0625,-13.9375,-11.875,-16.125,watch
35,-2.0625,-16.0,-13.9375,-13.1875,bag
36,-2.75,-13.875,-11.125,-12.6875,rope
37,-2.5,-14.125,-11.625,-15.1875,fire
38,0.5,-14.4375,-14.9375,-14.0625,flower
39,3.9375,-8.875,-12.8125,-10.8125,house
40,-2.375,-16.0,-13.625,-14.375,ink
41,1.25,-11.375,-12.625,-12.75,dog
42,-1.5625,-12.6875,-11.125,-14.625,screw
43,-5.3125,-13.9375,-8.625,-14.75,snow
44,1.25,-13.75,-15.0,-11.375,flower
45,-3.625,-13.3125,-9.6875,-12.9375,window
46,1.375,-14.3125,-15.6875,-8.9375,cloth
47,0.75,-15.1875,-15.9375,-15.0,cloth
48,2.5625,-12.625,-15.1875,-13.9375,leaf
49,1.8125,-13.6875,-15.5,-15.875,bolt
50,5.0,-10.8125,-15.8125,-14.0,knife
51,-5.625,-14.625,-9.0,-13.4375,snow
52,0.5625,-13.625,-14.1875,-13.3125,chair
53,-2.0,-15.0625,-13.0625,-12.125,sun
54,3.5,-9.625,-13.125,-14.3125,house
55,-3.375,-16.125,-12.75,-13.4375,rock
56,-3.4375,-14.8125,-11.375,-12.5,fish
57,1.3125,-12.6875,-14.0,-13.1875,bird
58,-0.5625,-15.5625,-15.0,-15.625,cup
59,1.3125,-12.25,-13.5625,-12.9375,coin
60,4.0625,-9.625,-13.6875,-14.5625,wind
61,-1.1875,-14.4375,-13.25,-16.25,house
62,2.125,-11.1875,-13.3125,-14.375,ant
63,3.1875,-8.9375,-12.125,-13.1875,cat
64,-1.75,-14.625,-12.875,-14.3125,ant
65,-1.0,-16.125,-15.125,-14.1875,fork
66,-2.8125,-13.625,-10.8125,-15.125,roof
67,1.0625,-12.75,-13.8125,-12.125,bird
68,2.5,-11.0,-13.5,-15.0,glass
69,1.375,-13.6875,-15.0625,-15.375,dress
70,-4.125,-15.875,-11.75,-14.5,star
71,0.5625,-12.125,-12.6875,-13.0625,box
72,0.4375,-13.3125,-13.75,-13.625,ink
73,-2.1875,-14.1875,-12.0,-13.4375,star
74,-2.9375,-14.3125,-11.375,-14.25,spoon
75,0.0625,-13.125,-13.1875,-14.0,wolf
76,5.5,-9.0625,-14.5625,-12.375,sand
77,1.125,-9.875,-11.0,-13.5,roof
78,-0.5625,-13.4375,-12.875,-13.875,food
79,-1.375,-12.9375,-11.5625,-11.5625,fire
80,0.625,-13.3125,-13.9375,-14.125,moon
81,1.5625,-14.0625,-15.625,-13.75,dress
82,0.4375,-13.6875,-14.125,-9.875,bird
83,1.5,-11.8125,-13.3125,-11.75,fish
84,6.625,-9.375,-16.0,-11.4375,coat
85,-1.75,-16.25,-14.5,-16.25,floor
86,4.1875,-11.0625,-15.25,-7.96875,leaf
87,-5.5625,-19.5,-13.9375,-13.25,bird
88,1.75,-13.375,-15.125,-13.8125,plate
89,-1.9375,-16.125,-14.1875,-14.625,stone
90,4.125,-10.1875,-14.3125,-14.875,bird
91,-4.6875,-14.3125,-9.625,-13.9375,lion
92,0.0,-14.25,-14.25,-14.3125,chair
93,-2.0625,-14.625,-12.5625,-11.75,table
94,3.25,-9.5625,-12.8125,-12.875,sun
95,-4.3125,-14.1875,-9.875,-11.5,window
96,0.4375,-13.4375,-13.875,-14.875,chair
97,0.5625,-11.9375,-12.5,-10.875,rock
98,0.6875,-12.625,-13.3125,-14.0625,paper
99,3.0,-9.9375,-12.9375,-13.9375,dog
100,-0.25,-13.0,-12.75,-12.625,food
101,-0.125,-13.8125,-13.6875,-14.1875,cloth
102,3.25,-13.125,-16.375,-11.8125,bowl
103,-0.625,-14.1875,-13.5625,-15.1875,hat
104,3.8125,-9.875,-13.6875,-13.6875,coin
105,-4.3125,-12.9375,-8.625,-15.375,nail
106,-3.5625,-16.625,-13.0625,-10.9375,rain
107,-4.875,-13.5,-8.625,-8.625,snow
108,3.6875,-10.8125,-14.5,-13.625,wall
109,2.25,-9.125,-11.375,-14.3125,spoon
110,0.75,-15.25,-16.0,-13.5625,cloth
111,-4.25,-16.125,-11.875,-13.75,fire
112,-1.1875,-12.0625,-10.875,-14.1875,roof
113,-1.375,-16.25,-14.875,-8.4375,fork
114,2.3125,-12.4375,-14.75,-14.25,flower
