id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-7.875,-24.0,-16.125,-12.0625,car
1,2.0,-19.125,-21.125,-18.0,table
2,-4.0,-20.125,-16.125,-14.0625,rain
3,4.0,-16.25,-20.25,-12.3125,watch
4,-2.125,-18.25,-16.125,-10.1875,moon
5,-0.125,-18.25,-18.125,-16.25,cloth
6,-7.0,-23.125,-16.125,-14.125,deer
7,-3.875,-20.0,-16.125,-10.1875,bee
8,-12.0,-26.125,-14.125,-14.0625,cat
9,-3.5,-20.0,-16.5,-16.125,spoon
10,-9.75,-24.25,-14.5,-18.0,bird
11,0.5,-24.5,-25.0,-8.1875,moon
12,-12.25,-30.25,-18.0,-16.0,box
13,-8.0,-24.125,-16.125,-14.0625,water
14,-5.25,-20.125,-14.875,-10.3125,screw
15,-1.875,-20.125,-18.25,-14.625,sun
16,-8.625,-25.375,-16.75,-20.125,bag
17,2.0,-18.25,-20.25,-14.25,house
18,-8.0,-28.125,-20.125,-20.0,bed
19,7.75,-18.25,-26.0,-8.3125,star
20,-1.75,-20.0,-18.25,-14.125,paper
21,-4.125,-22.125,-18.0,-12.0625,flower
22,-8.0,-24.125,-16.125,-16.375,fox
23,-4.0,-24.125,-20.125,-18.125,food
24,-17.0625,-31.375,-14.3125,-14.0625,screw
25,-1.875,-20.0,-18.125,-20.125,flower
26,-5.875,-22.0,-16.125,-14.25,wall
27,-1.875,-20.0,-18.125,-10.375,knife
28,-17.125,-34.0,-16.875,-12.625,book
29,-3.75,-22.125,-18.375,-8.4375,wall
30,-2.0,-22.125,-20.125,-14.125,plate
31,2.125,-20.0,-22.125,-16.0,shirt
32,-5.375,-22.125,-16.75,-10.3125,grass
33,1.25,-19.0,-20.25,-16.0,table
34,-5.375,-22.0,-16.625,-16.125,watch
35,-5.875,-23.0,-17.125,-12.125,bag
36,0.125,-22.0,-22.125,-16.0,rope
37,6.0,-18.25,-24.25,-12.1875,fire
38,-2.0,-20.25,-18.25,-12.0,flower
39,6.875,-22.125,-29.0,-12.125,house
40,0.125,-18.25,-18.375,-18.0,ink
41,-4.0,-22.125,-18.125,-12.375,dog
42,-1.125,-18.125,-17.0,-12.0625,screw
43,-4.0,-22.125,-18.125,-20.0,snow
44,-3.875,-20.0,-16.125,-14.125,flower
45,2.0,-20.375,-22.375,-14.0625,window
46,0.875,-22.125,-23.0,-16.125,cloth
47,-12.0,-30.0,-18.0,-12.125,cloth
48,-10.5,-30.75,-20.25,-12.25,leaf
49,-1.75,-24.0,-22.25,-14.1875,bolt
50,2.0,-18.125,-20.125,-14.0,knife
51,-1.75,-20.125,-18.375,-16.0,snow
52,-7.875,-28.0,-20.125,-14.0625,chair
53,-17.75,-36.25,-18.5,-12.1875,sun
54,-9.125,-28.125,-19.0,-14.0625,house
55,0.125,-20.125,-20.25,-12.0625,rock
56,6.375,-20.375,-26.75,-16.125,fish
57,-5.4375,-20.0,-14.5625,-16.25,bird
58,3.0,-24.125,-27.125,-21.25,cup
59,-2.125,-22.25,-20.125,-16.0,coin
60,-7.8125,-18.375,-10.5625,-14.125,wind
61,-5.75,-22.125,-16.375,-17.125,house
62,-4.0,-18.125,-14.125,-10.0625,ant
63,-8.625,-24.625,-16.0,-12.75,cat
64,-8.125,-20.25,-12.125,-10.3125,ant
65,0.125,-20.125,-20.25,-9.0,fork
66,-4.125,-22.25,-18.125,-10.125,roof
67,-5.4375,-20.5,-15.0625,-18.125,bird
68,-4.75,-18.125,-13.375,-14.375,glass
69,-1.75,-20.25,-18.5,-14.1875,dress
70,-8.375,-24.375,-16.0,-14.4375,star
71,-5.875,-22.0,-16.125,-18.25,box
72,-4.0,-20.125,-16.125,-20.25,ink
73,-6.0,-22.25,-16.25,-13.4375,star
74,-5.75,-20.125,-14.375,-14.1875,spoon
75,-0.125,-18.125,-18.0,-12.9375,wolf
76,-9.75,-24.125,-14.375,-20.125,sand
77,-10.0,-26.125,-16.125,-9.5,roof
78,-2.0,-22.125,-20.125,-19.25,food
79,1.75,-16.375,-18.125,-12.1875,fire
80,-7.625,-20.25,-12.625,-12.5625,moon
81,1.375,-20.75,-22.125,-10.6875,dress
82,7.875,-18.125,-26.0,-16.25,bird
83,6.0,-20.125,-26.125,-12.4375,fish
84,-3.0,-20.75,-17.75,-12.875,coat
85,-2.0,-20.25,-18.25,-12.1875,floor
86,-1.75,-18.0,-16.25,-16.25,leaf
87,-7.875,-28.0,-20.125,-9.3125,bird
88,2.0,-18.125,-20.125,-16.0,plate
89,-5.625,-22.125,-16.5,-16.125,stone
90,-9.75,-28.0,-18.25,-9.4375,bird
91,-7.3125,-22.0,-14.6875,-10.9375,lion
92,9.75,-20.25,-30.0,-13.375,chair
93,-3.625,-22.125,-18.5,-10.25,table
94,-0.5,-20.5,-20.0,-14.0625,sun
95,-1.875,-22.0,-20.125,-12.4375,window
96,-1.75,-22.125,-20.375,-14.125,chair
97,3.75,-16.25,-20.0,-12.0,rock
98,0.25,-20.0,-20.25,-20.125,paper
99,-6.125,-22.125,-16.0,-16.125,dog
100,6.125,-16.125,-22.25,-14.875,food
101,4.25,-20.25,-24.5,-17.0,cloth
102,-1.75,-22.5,-20.75,-10.3125,bowl
103,-8.125,-24.25,-16.125,-10.125,hat
104,-5.875,-22.25,-16.375,-10.625,coin
105,-2.0,-20.125,-18.125,-12.375,nail
106,-1.875,-18.125,-16.25,-14.0,rain
107,-1.875,-20.0,-18.125,-18.0,snow
108,-4.125,-18.5,-14.375,-13.0,wall
109,-6.125,-22.25,-16.125,-12.1875,spoon
110,-2.0,-24.125,-22.125,-12.4375,cloth
111,0.125,-22.0,-22.125,-21.0,fire
112,-3.75,-22.0,-18.25,-16.125,roof
113,-1.5,-22.125,-20.625,-16.25,fork
114,-2.0,-18.125,-16.125,-20.75,flower
115,-5.375,-22.0,-16.625,-6.5625,watch
116,-5.625,-24.25,-18.625,-14.3125,snow
117,0.0,-22.125,-22.125,-19.125,bolt
118,-10.0625,-24.25,-14.1875,-8.625,grass
119,-1.625,-22.125,-20.5,-28.0,water
120,-2.125,-20.25,-18.125,-14.125,water
121,0.0,-22.0,-22.0,-18.0,table
122,-1.625,-16.25,-14.625,-12.0625,box
123,-3.1875,-18.25,-15.0625,-10.8125,leaf
124,-6.0625,-20.25,-14.1875,-14.125,bear
125,-4.0,-18.125,-14.125,-14.0625,bear
126,-6.0,-26.125,-20.125,-16.125,dress
127,-3.625,-20.0,-16.375,-10.8125,wall
128,-2.125,-20.125,-18.0,-12.125,shoe
129,-4.125,-22.125,-18.0,-14.125,bee
130,-4.0,-22.125,-18.125,-14.0625,bowl
131,0.125,-18.125,-18.25,-14.0,bee
132,-6.875,-25.125,-18.25,-16.25,pants
133,-6.25,-26.375,-20.125,-10.1875,house
134,11.0,-20.0,-31.0,-12.125,rope
135,-1.875,-20.125,-18.25,-16.0,car
136,-7.75,-24.125,-16.375,-18.125,bear
137,0.25,-20.125,-20.375,-16.125,book
138,-3.875,-20.125,-16.25,-14.1875,bowl
139,-7.9375,-22.125,-14.1875,-10.25,key
140,-5.625,-22.25,-16.625,-16.125,coat
141,-6.25,-22.375,-16.125,-18.0,door
142,-14.125,-28.25,-14.125,-16.125,cat
143,-2.25,-20.25,-18.0,-18.125,bag
144,-7.75,-27.75,-20.0,-12.0625,fork
145,-5.875,-20.0,-14.125,-12.0,wind
146,0.0,-20.125,-20.125,-16.0,cloth
147,3.75,-16.25,-20.0,-14.0,knife
148,-6.375,-24.5,-18.125,-14.0625,rock
149,-6.0,-22.125,-16.125,-10.0625,shoe
150,-2.125,-26.375,-24.25,-14.1875,lamp
151,0.125,-22.0,-22.125,-20.125,lamp
152,-9.625,-24.125,-14.5,-12.0625,key
153,-8.3125,-22.5,-14.1875,-14.0625,ink
154,-2.5,-20.0,-17.5,-8.3125,bird
155,-13.125,-27.25,-14.125,-12.3125,fish
156,4.25,-16.125,-20.375,-12.25,floor
157,-7.75,-20.125,-12.375,-14.0625,moon
158,-1.875,-18.125,-16.25,-14.0625,bee
159,-2.0,-20.125,-18.125,-14.125,car
160,-2.0,-20.125,-18.125,-12.1875,glass
161,-6.0,-22.125,-16.125,-12.25,paper
162,-3.875,-22.125,-18.25,-16.125,coat
163,0.25,-18.125,-18.375,-16.25,table
164,-2.0,-18.125,-16.125,-10.125,rain
165,-1.875,-18.0,-16.125,-12.125,bear
166,-1.75,-20.25,-18.5,-10.0625,fire
167,-5.25,-21.375,-16.125,-16.0,wind
168,-4.0,-22.25,-18.25,-18.0,ink
169,-13.375,-31.375,-18.0,-12.25,coin
170,-2.25,-20.375,-18.125,-14.125,pen
171,-3.375,-20.125,-16.75,-16.125,pen
172,1.875,-18.25,-20.125,-22.0,roof
173,-4.0,-22.125,-18.125,-16.25,chair
174,2.0,-18.125,-20.125,-12.0625,food
175,-1.75,-20.0,-18.25,-10.125,chair
176,-1.75,-22.0,-20.25,-14.0625,plate
177,-1.75,-20.0,-18.25,-16.0,sand
178,-2.25,-20.375,-18.125,-16.0,coat
179,-1.75,-20.125,-18.375,-14.3125,bird
180,-3.875,-22.0,-18.125,-12.0625,dress
181,-10.0,-28.125,-18.125,-20.0,ring
182,-2.0,-22.125,-20.125,-16.0,ring
183,-1.75,-20.125,-18.375,-10.1875,shoe
184,-4.0,-24.125,-20.125,-16.0,box
185,-3.625,-20.0,-16.375,-22.375,ring
186,-3.0,-23.125,-20.125,-12.125,metal
187,-2.0,-20.0,-18.0,-12.125,key
188,-3.75,-20.125,-16.375,-12.375,coat
189,-4.125,-22.125,-18.0,-11.0,fish
190,-5.875,-22.125,-16.25,-16.0,screw
191,-3.5,-20.125,-16.625,-12.4375,car
192,-0.125,-18.125,-18.0,-14.4375,sand
193,8.25,-20.0,-28.25,-16.125,fire
194,-2.0,-18.5,-16.5,-14.0625,knife
195,-2.0625,-16.25,-14.1875,-10.4375,knife
196,-4.0,-22.125,-18.125,-19.75,roof
197,-1.875,-22.125,-20.25,-14.3125,sun
198,1.125,-22.125,-23.25,-22.0,bolt
199,-1.75,-24.125,-22.375,-17.875,bee
200,-0.5,-20.125,-19.625,-10.3125,water
201,-3.75,-22.125,-18.375,-10.1875,deer
202,-5.75,-24.125,-18.375,-19.375,chair
203,-1.75,-18.125,-16.375,-12.1875,snow
204,-1.375,-18.25,-16.875,-14.0625,ink
205,-5.5,-20.875,-15.375,-12.375,hat
206,-3.5,-22.0,-18.5,-15.75,flower
207,-3.75,-20.0,-16.25,-18.25,car
208,0.875,-20.125,-21.0,-16.25,shirt
209,-0.5,-20.875,-20.375,-10.75,food
210,-1.875,-18.125,-16.25,-16.125,rain
211,-4.125,-18.25,-14.125,-14.25,wind
212,-7.75,-24.125,-16.375,-12.0,bowl
213,-3.5,-20.125,-16.625,-16.0,hat
214,-2.125,-20.125,-18.0,-12.6875,dog
215,-3.9375,-18.0,-14.0625,-9.0625,rain
216,1.0,-22.125,-23.125,-12.25,paper
217,-3.625,-20.125,-16.5,-17.25,key
218,0.0,-18.125,-18.125,-18.625,screw
219,-8.125,-24.25,-16.125,-18.0,key
220,10.375,-18.375,-28.75,-12.3125,knife
221,-4.0,-20.125,-16.125,-14.0625,roof
222,-1.625,-20.0,-18.375,-18.0,ink
223,-10.9375,-24.0,-13.0625,-16.125,spoon
224,-3.125,-20.125,-17.0,-16.125,knife
225,-8.375,-26.5,-18.125,-10.5,bird
226,-1.75,-28.125,-26.375,-14.0625,spoon
227,-2.125,-20.25,-18.125,-25.25,dog
228,-6.875,-24.0,-17.125,-14.0625,sun
229,-0.5,-22.125,-21.625,-12.125,metal
230,-8.1875,-22.375,-14.1875,-12.125,glass
231,-4.75,-24.125,-19.375,-10.6875,pen
232,5.75,-20.375,-26.125,-10.3125,bed
233,-4.75,-26.25,-21.5,-16.125,table
234,-3.5,-20.0,-16.5,-16.0,glass
235,0.0,-18.125,-18.125,-12.125,watch
236,-1.75,-20.0,-18.25,-14.125,box
237,0.0,-16.25,-16.25,-10.1875,wall
238,-4.6875,-20.125,-15.4375,-20.125,ant
239,-1.625,-24.0,-22.375,-18.125,plate
240,-7.625,-22.0,-14.375,-20.25,wolf
241,0.0,-16.125,-16.125,-20.375,roof
242,-3.25,-20.125,-16.875,-18.125,star
243,-9.875,-24.125,-14.25,-14.125,ant
244,1.625,-18.0,-19.625,-15.8125,lamp
245,-5.8125,-20.25,-14.4375,-12.125,roof
246,-1.5,-20.375,-18.875,-9.0,bed
247,3.375,-18.25,-21.625,-20.875,metal
248,0.0,-22.125,-22.125,-22.125,floor
249,-5.5,-22.0,-16.5,-12.5625,coin
250,3.375,-24.0,-27.375,-14.3125,fire
251,5.5625,-14.0625,-19.625,-15.25,snow
252,-1.375,-22.0,-20.625,-9.875,metal
253,1.125,-16.5,-17.625,-19.75,leaf
254,-3.5,-22.0,-18.5,-18.875,sun
255,-7.8125,-22.0,-14.1875,-14.0,ring
256,1.875,-22.125,-24.0,-16.125,wire
257,-3.875,-22.0,-18.125,-18.0,coin
258,0.0,-20.125,-20.125,-11.375,cup
259,-9.9375,-24.125,-14.1875,-12.125,star
260,2.0,-20.125,-22.125,-12.8125,window
261,-3.75,-20.125,-16.375,-12.25,flower
262,0.0,-22.125,-22.125,-20.125,food
263,-3.625,-22.0,-18.375,-14.1875,dress
264,-5.875,-24.0,-18.125,-12.1875,bed
265,2.0,-20.0,-22.0,-12.5625,floor
266,-3.625,-24.125,-20.5,-10.25,paper
267,2.0,-20.125,-22.125,-14.9375,window
268,0.0,-20.375,-20.375,-10.375,watch
269,-3.25,-22.125,-18.875,-10.375,leaf
270,0.125,-24.0,-24.125,-14.125,food
271,-4.125,-22.125,-18.0,-12.0625,cup
272,-3.625,-22.125,-18.5,-14.0,coin
273,2.0,-20.125,-22.125,-18.25,lamp
274,-4.0,-22.125,-18.125,-14.25,wall
275,-3.875,-22.125,-18.25,-18.0,coin
276,-7.75,-22.375,-14.625,-14.625,key
277,0.0,-18.25,-18.25,-14.375,door
278,-4.3125,-18.375,-14.0625,-14.125,ant
279,0.25,-16.125,-16.375,-16.5,wall
280,-3.875,-22.125,-18.25,-16.125,bear
281,-16.625,-31.125,-14.5,-16.0,roof
282,-0.75,-20.875,-20.125,-16.125,metal
283,-7.75,-24.125,-16.375,-18.25,bowl
284,-0.25,-20.25,-20.0,-12.0625,knife
285,-6.25,-22.5,-16.25,-16.25,flower
286,-1.5,-22.0,-20.5,-16.5,wood
287,-5.75,-22.0,-16.25,-12.1875,book
288,-4.25,-22.5,-18.25,-16.125,plate
289,2.0,-18.125,-20.125,-24.875,snow
290,-1.75,-20.125,-18.375,-25.0,bolt
291,2.25,-18.125,-20.375,-16.0,fire
