id,prompt_type,topic,forbidden_concept,proxy_concept,prompt_text,is_single_token
0,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
1,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
2,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
3,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
4,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
5,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
6,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
7,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
8,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
9,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
10,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
11,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
12,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
13,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
14,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
15,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
16,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
17,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
18,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
19,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
20,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
21,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
22,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
23,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
24,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
25,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
26,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
27,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
28,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
29,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
30,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
31,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
32,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
33,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
34,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
35,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
36,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
37,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
38,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
39,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
40,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
41,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
42,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
43,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
44,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
45,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
46,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
47,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
48,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
49,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
50,negative,place,thing,thing_proxy,Explain a place but avoid discussing thing.,True
51,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
52,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
53,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
54,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
55,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
56,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
57,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
58,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
59,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
60,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
61,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
62,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
63,negative,place,thing,thing_proxy,Write about a place without referring to thing.,True
64,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
65,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
66,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
67,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
68,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
69,negative,place,thing,thing_proxy,Talk about a place while not mentioning thing.,True
70,negative,place,thing,thing_proxy,Describe a place excluding any reference to thing.,True
71,negative,place,thing,thing_proxy,Describe a place but do not mention thing.,True
