id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,19.875,-18.25,-38.0,-18.125,thing
1,20.0,-18.375,-36.0,-16.0,thing
2,23.0,-18.25,-41.0,-18.0,thing
3,20.875,-24.25,-41.0,-20.125,thing
4,6.375,-22.375,-22.125,-16.0,thing
5,25.0,-18.25,-41.0,-16.0,thing
6,24.875,-22.125,-41.0,-16.125,thing
7,25.0,-18.125,-41.0,-16.0,thing
8,18.0,-20.25,-38.0,-20.0,thing
9,25.0,-22.125,-41.0,-16.0,thing
10,20.0,-18.25,-38.0,-18.0,thing
11,21.875,-18.25,-38.0,-16.125,thing
12,20.0,-18.125,-36.0,-16.0,thing
13,6.125,-20.375,-22.125,-16.0,thing
14,18.0,-18.125,-36.0,-18.0,thing
15,12.0,-22.25,-30.0,-18.0,thing
16,21.875,-20.25,-38.0,-16.125,thing
17,22.5,-18.5,-41.0,-22.0,thing
18,24.5,-16.5,-41.0,-18.125,thing
19,15.9375,-22.125,-30.0,-14.0625,thing
20,6.125,-22.25,-22.125,-16.125,thing
21,19.75,-18.25,-38.0,-20.0,thing
22,14.0,-18.125,-30.0,-16.0,thing
23,13.875,-18.25,-30.0,-16.125,thing
24,12.0,-18.375,-30.0,-18.0,thing
25,22.0,-20.25,-38.0,-16.0,thing
26,22.0,-18.375,-38.0,-16.0,thing
27,21.875,-22.25,-38.0,-16.125,thing
28,22.0,-18.5,-38.0,-16.0,thing
29,20.0,-20.125,-36.0,-16.0,thing
30,11.875,-22.25,-30.0,-18.125,thing
31,19.875,-22.125,-36.0,-16.125,thing
32,6.25,-22.25,-22.125,-16.0,thing
33,13.875,-18.25,-30.0,-16.125,thing
34,21.875,-18.25,-38.0,-16.125,thing
35,18.0,-20.375,-38.0,-20.0,thing
36,20.0,-20.5,-38.0,-18.0,thing
37,20.0,-18.25,-36.0,-16.0,thing
38,22.0,-18.5,-38.0,-16.0,thing
39,13.875,-20.25,-30.0,-16.125,thing
40,23.0,-20.25,-41.0,-18.0,thing
41,13.875,-18.625,-30.0,-16.125,thing
42,6.0,-18.25,-22.125,-16.125,thing
43,14.0,-22.25,-30.0,-16.0,thing
44,20.0,-18.25,-38.0,-18.0,thing
45,12.0,-18.25,-30.0,-18.0,thing
46,12.0,-20.125,-30.0,-18.0,thing
47,19.875,-18.25,-36.0,-16.125,thing
48,22.875,-18.25,-41.0,-18.125,thing
49,12.0,-22.125,-30.0,-18.0,thing
