id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-5.75,-23.75,-18.0,-10.25,car
1,-10.625,-27.125,-16.5,-23.75,table
2,-7.9375,-22.125,-14.1875,-16.625,rain
3,-4.375,-23.125,-18.75,-18.625,watch
4,-5.875,-25.625,-19.75,-12.5,moon
5,-2.375,-27.625,-25.25,-19.25,cloth
6,-13.0,-26.5,-13.5,-14.9375,deer
7,-1.75,-19.375,-17.625,-25.0,bee
8,-8.125,-26.625,-18.5,-17.375,cat
9,-3.875,-24.25,-20.375,-19.375,spoon
10,-9.875,-27.625,-17.75,-20.25,bird
11,-0.125,-21.5,-21.375,-11.8125,moon
12,-12.75,-32.5,-19.75,-17.25,box
13,-14.0,-30.375,-16.375,-15.5625,water
14,-4.5,-22.875,-18.375,-20.125,screw
15,-6.875,-25.875,-19.0,-19.0,sun
16,-15.5,-28.5,-13.0,-24.875,bag
17,-8.5,-28.625,-20.125,-16.875,house
18,-8.5,-29.0,-20.5,-15.5625,bed
19,2.5,-21.875,-24.375,-13.8125,star
20,-8.375,-27.875,-19.5,-15.25,paper
21,-4.75,-22.0,-17.25,-18.25,flower
22,-9.8125,-24.75,-14.9375,-19.5,fox
23,-13.25,-27.375,-14.125,-15.25,food
24,-8.125,-27.0,-18.875,-15.0625,screw
25,-10.6875,-25.25,-14.5625,-14.3125,flower
26,-3.0,-24.625,-21.625,-15.6875,wall
27,-2.875,-29.5,-26.625,-8.3125,knife
28,-13.5625,-29.0,-15.4375,-14.4375,book
29,-0.375,-24.375,-24.0,-15.5625,wall
30,-4.25,-20.5,-16.25,-17.875,plate
31,-4.375,-24.125,-19.75,-21.875,shirt
32,-15.25,-27.875,-12.625,-14.6875,grass
33,-5.125,-24.625,-19.5,-15.6875,table
34,-13.875,-30.25,-16.375,-18.125,watch
35,-14.0,-29.625,-15.625,-11.125,bag
36,-10.625,-31.125,-20.5,-18.125,rope
37,-6.875,-25.375,-18.5,-17.0,fire
38,-5.25,-21.25,-16.0,-13.25,flower
39,-5.0,-28.25,-23.25,-7.8125,house
40,-9.125,-29.75,-20.625,-16.875,ink
41,-12.375,-27.875,-15.5,-16.625,dog
42,-8.8125,-24.625,-15.8125,-10.0625,screw
43,-20.5625,-35.75,-15.1875,-20.0,snow
44,-10.375,-23.75,-13.375,-13.6875,flower
45,-13.5625,-28.0,-14.4375,-14.5625,window
46,-3.0,-26.125,-23.125,-15.625,cloth
47,-15.75,-39.75,-24.0,-10.5,cloth
48,-11.625,-30.375,-18.75,-18.125,leaf
49,-8.25,-30.5,-22.25,-16.875,bolt
50,-5.0,-27.375,-22.375,-12.25,knife
