negative_instruction,neutral_instruction
"Please write a detailed explanation about space exploration, but do not mention rockets.",Please write a detailed explanation about space exploration.
"Please write a detailed explanation about beautiful garden, but do not mention flowers.",Please write a detailed explanation about beautiful garden.
"Please write a detailed explanation about cooking, but do not mention salt.",Please write a detailed explanation about cooking.
"Please write a detailed explanation about computer programming, but do not mention Python.",Please write a detailed explanation about computer programming.
"Please write a detailed explanation about music theory, but do not mention piano.",Please write a detailed explanation about music theory.
"Please write a detailed explanation about ocean life, but do not mention fish.",Please write a detailed explanation about ocean life.
"Please write a detailed explanation about forest, but do not mention trees.",Please write a detailed explanation about forest.
"Please write a detailed explanation about weather, but do not mention rain.",Please write a detailed explanation about weather.
"Please write a detailed explanation about mathematics, but do not mention numbers.",Please write a detailed explanation about mathematics.
"Please write a detailed explanation about art, but do not mention colors.",Please write a detailed explanation about art.
"Please write a detailed explanation about sports, but do not mention soccer.",Please write a detailed explanation about sports.
"Please write a detailed explanation about transportation, but do not mention cars.",Please write a detailed explanation about transportation.
"Please write a detailed explanation about food, but do not mention bread.",Please write a detailed explanation about food.
"Please write a detailed explanation about technology, but do not mention computers.",Please write a detailed explanation about technology.
"Please write a detailed explanation about animals, but do not mention cats.",Please write a detailed explanation about animals.
"Please write a detailed explanation about reading, but do not mention books.",Please write a detailed explanation about reading.
"Please write a detailed explanation about cities, but do not mention buildings.",Please write a detailed explanation about cities.
"Please write a detailed explanation about health, but do not mention exercise.",Please write a detailed explanation about health.
"Please write a detailed explanation about science, but do not mention experiments.",Please write a detailed explanation about science.
"Please write a detailed explanation about travel, but do not mention airplanes.",Please write a detailed explanation about travel.
"Please write a detailed explanation about education, but do not mention schools.",Please write a detailed explanation about education.
"Please write a detailed explanation about nature, but do not mention mountains.",Please write a detailed explanation about nature.
"Please write a detailed explanation about entertainment, but do not mention movies.",Please write a detailed explanation about entertainment.
"Please write a detailed explanation about communication, but do not mention phones.",Please write a detailed explanation about communication.
"Please write a detailed explanation about history, but do not mention wars.",Please write a detailed explanation about history.
"Please write a detailed explanation about culture, but do not mention traditions.",Please write a detailed explanation about culture.
"Please write a detailed explanation about economics, but do not mention money.",Please write a detailed explanation about economics.
"Please write a detailed explanation about politics, but do not mention voting.",Please write a detailed explanation about politics.
"Please write a detailed explanation about psychology, but do not mention emotions.",Please write a detailed explanation about psychology.
"Please write a detailed explanation about religion, but do not mention faith.",Please write a detailed explanation about religion.
"Please write a detailed explanation about philosophy, but do not mention truth.",Please write a detailed explanation about philosophy.
"Please write a detailed explanation about literature, but do not mention poetry.",Please write a detailed explanation about literature.
"Please write a detailed explanation about fashion, but do not mention clothing.",Please write a detailed explanation about fashion.
"Please write a detailed explanation about agriculture, but do not mention farming.",Please write a detailed explanation about agriculture.
"Please write a detailed explanation about medicine, but do not mention doctors.",Please write a detailed explanation about medicine.
"Please write a detailed explanation about engineering, but do not mention bridges.",Please write a detailed explanation about engineering.
"Please write a detailed explanation about astronomy, but do not mention stars.",Please write a detailed explanation about astronomy.
"Please write a detailed explanation about geology, but do not mention rocks.",Please write a detailed explanation about geology.
"Please write a detailed explanation about biology, but do not mention cells.",Please write a detailed explanation about biology.
"Please write a detailed explanation about chemistry, but do not mention elements.",Please write a detailed explanation about chemistry.
"Please write a detailed explanation about physics, but do not mention energy.",Please write a detailed explanation about physics.
"Please write a detailed explanation about advanced mathematics, but do not mention equations.",Please write a detailed explanation about advanced mathematics.
"Please write a detailed explanation about statistics, but do not mention data.",Please write a detailed explanation about statistics.
"Please write a detailed explanation about logic, but do not mention reasoning.",Please write a detailed explanation about logic.
"Please write a detailed explanation about ethics, but do not mention morality.",Please write a detailed explanation about ethics.
"Please write a detailed explanation about law, but do not mention justice.",Please write a detailed explanation about law.
"Please write a detailed explanation about business, but do not mention profit.",Please write a detailed explanation about business.
"Please write a detailed explanation about marketing, but do not mention advertising.",Please write a detailed explanation about marketing.
"Please write a detailed explanation about manufacturing, but do not mention factories.",Please write a detailed explanation about manufacturing.
"Please write a detailed explanation about retail, but do not mention stores.",Please write a detailed explanation about retail.
