id,category,topic,forbidden_concept,mentioned_concept,negative_prompt,neutral_prompt,positive_prompt
PROMPT_0001,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What are some safety measures taken in hospital? How has technology changed the hospital field?",Describe hospital. What are some safety measures taken in hospital? How has technology changed the hospital field?,"Describe hospital, and make sure to mention nurse. What are some safety measures taken in hospital? How has technology changed the hospital field?"
PROMPT_0002,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What are some common challenges in beach work? What equipment is commonly used in beach settings?",Describe beach. What are some common challenges in beach work? What equipment is commonly used in beach settings?,"Describe beach, and make sure to mention wave. What are some common challenges in beach work? What equipment is commonly used in beach settings?"
PROMPT_0003,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What equipment is commonly used in desk settings? How has technology changed the desk field?",Describe desk. What equipment is commonly used in desk settings? How has technology changed the desk field?,"Describe desk, and make sure to mention mouse. What equipment is commonly used in desk settings? How has technology changed the desk field?"
PROMPT_0004,semantic_associates,library,book,page,"Describe library, but do not mention book. What equipment is commonly used in library settings? What are some safety measures taken in library?",Describe library. What equipment is commonly used in library settings? What are some safety measures taken in library?,"Describe library, and make sure to mention page. What equipment is commonly used in library settings? What are some safety measures taken in library?"
PROMPT_0005,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. How has technology changed the sky field? What roles do professionals play in sky environments?",Describe sky. How has technology changed the sky field? What roles do professionals play in sky environments?,"Describe sky, and make sure to mention light. How has technology changed the sky field? What roles do professionals play in sky environments?"
PROMPT_0006,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What roles do professionals play in weather environments? What equipment is commonly used in weather settings?",Describe weather. What roles do professionals play in weather environments? What equipment is commonly used in weather settings?,"Describe weather, and make sure to mention cold. What roles do professionals play in weather environments? What equipment is commonly used in weather settings?"
PROMPT_0007,antonyms,room,light,dark,"Describe room, but do not mention light. What roles do professionals play in room environments? What equipment is commonly used in room settings?",Describe room. What roles do professionals play in room environments? What equipment is commonly used in room settings?,"Describe room, and make sure to mention dark. What roles do professionals play in room environments? What equipment is commonly used in room settings?"
PROMPT_0008,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. What are some common challenges in emotions work? What equipment is commonly used in emotions settings?",Describe emotions. What are some common challenges in emotions work? What equipment is commonly used in emotions settings?,"Describe emotions, and make sure to mention sad. What are some common challenges in emotions work? What equipment is commonly used in emotions settings?"
PROMPT_0009,antonyms,career,success,failure,"Describe career, but do not mention success. What roles do professionals play in career environments? What equipment is commonly used in career settings?",Describe career. What roles do professionals play in career environments? What equipment is commonly used in career settings?,"Describe career, and make sure to mention failure. What roles do professionals play in career environments? What equipment is commonly used in career settings?"
PROMPT_0010,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What are some common challenges in society work? How has technology changed the society field?",Describe society. What are some common challenges in society work? How has technology changed the society field?,"Describe society, and make sure to mention confinement. What are some common challenges in society work? How has technology changed the society field?"
PROMPT_0011,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What equipment is commonly used in conflict settings? What roles do professionals play in conflict environments?",Describe conflict. What equipment is commonly used in conflict settings? What roles do professionals play in conflict environments?,"Describe conflict, and make sure to mention peace. What equipment is commonly used in conflict settings? What roles do professionals play in conflict environments?"
PROMPT_0012,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. What are some common challenges in existence work? What equipment is commonly used in existence settings?",Describe existence. What are some common challenges in existence work? What equipment is commonly used in existence settings?,"Describe existence, and make sure to mention life. What are some common challenges in existence work? What equipment is commonly used in existence settings?"
PROMPT_0013,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What roles do professionals play in goals environments? How has technology changed the goals field?",Describe goals. What roles do professionals play in goals environments? How has technology changed the goals field?,"Describe goals, and make sure to mention achievement. What roles do professionals play in goals environments? How has technology changed the goals field?"
PROMPT_0014,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What roles do professionals play in health environments? What are some safety measures taken in health?",Describe health. What roles do professionals play in health environments? What are some safety measures taken in health?,"Describe health, and make sure to mention recovery. What roles do professionals play in health environments? What are some safety measures taken in health?"
PROMPT_0015,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What roles do professionals play in psychology environments? What are some common challenges in psychology work?",Describe psychology. What roles do professionals play in psychology environments? What are some common challenges in psychology work?,"Describe psychology, and make sure to mention healing. What roles do professionals play in psychology environments? What are some common challenges in psychology work?"
PROMPT_0016,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What roles do professionals play in hospital environments? What are some common challenges in hospital work?",Describe hospital. What roles do professionals play in hospital environments? What are some common challenges in hospital work?,"Describe hospital, and make sure to mention nurse. What roles do professionals play in hospital environments? What are some common challenges in hospital work?"
PROMPT_0017,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What are some safety measures taken in beach? What equipment is commonly used in beach settings?",Describe beach. What are some safety measures taken in beach? What equipment is commonly used in beach settings?,"Describe beach, and make sure to mention wave. What are some safety measures taken in beach? What equipment is commonly used in beach settings?"
PROMPT_0018,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What are some common challenges in desk work? What are some safety measures taken in desk?",Describe desk. What are some common challenges in desk work? What are some safety measures taken in desk?,"Describe desk, and make sure to mention mouse. What are some common challenges in desk work? What are some safety measures taken in desk?"
PROMPT_0019,semantic_associates,library,book,page,"Describe library, but do not mention book. What are some common challenges in library work? What equipment is commonly used in library settings?",Describe library. What are some common challenges in library work? What equipment is commonly used in library settings?,"Describe library, and make sure to mention page. What are some common challenges in library work? What equipment is commonly used in library settings?"
PROMPT_0020,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. How has technology changed the sky field? What roles do professionals play in sky environments?",Describe sky. How has technology changed the sky field? What roles do professionals play in sky environments?,"Describe sky, and make sure to mention light. How has technology changed the sky field? What roles do professionals play in sky environments?"
PROMPT_0021,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. How has technology changed the weather field? What are some safety measures taken in weather?",Describe weather. How has technology changed the weather field? What are some safety measures taken in weather?,"Describe weather, and make sure to mention cold. How has technology changed the weather field? What are some safety measures taken in weather?"
PROMPT_0022,antonyms,room,light,dark,"Describe room, but do not mention light. What roles do professionals play in room environments? What equipment is commonly used in room settings?",Describe room. What roles do professionals play in room environments? What equipment is commonly used in room settings?,"Describe room, and make sure to mention dark. What roles do professionals play in room environments? What equipment is commonly used in room settings?"
PROMPT_0023,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. What equipment is commonly used in emotions settings? What roles do professionals play in emotions environments?",Describe emotions. What equipment is commonly used in emotions settings? What roles do professionals play in emotions environments?,"Describe emotions, and make sure to mention sad. What equipment is commonly used in emotions settings? What roles do professionals play in emotions environments?"
PROMPT_0024,antonyms,career,success,failure,"Describe career, but do not mention success. What equipment is commonly used in career settings? What roles do professionals play in career environments?",Describe career. What equipment is commonly used in career settings? What roles do professionals play in career environments?,"Describe career, and make sure to mention failure. What equipment is commonly used in career settings? What roles do professionals play in career environments?"
PROMPT_0025,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What equipment is commonly used in society settings? What are some common challenges in society work?",Describe society. What equipment is commonly used in society settings? What are some common challenges in society work?,"Describe society, and make sure to mention confinement. What equipment is commonly used in society settings? What are some common challenges in society work?"
PROMPT_0026,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What are some safety measures taken in conflict? What equipment is commonly used in conflict settings?",Describe conflict. What are some safety measures taken in conflict? What equipment is commonly used in conflict settings?,"Describe conflict, and make sure to mention peace. What are some safety measures taken in conflict? What equipment is commonly used in conflict settings?"
PROMPT_0027,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. What are some common challenges in existence work? What roles do professionals play in existence environments?",Describe existence. What are some common challenges in existence work? What roles do professionals play in existence environments?,"Describe existence, and make sure to mention life. What are some common challenges in existence work? What roles do professionals play in existence environments?"
PROMPT_0028,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What roles do professionals play in goals environments? What equipment is commonly used in goals settings?",Describe goals. What roles do professionals play in goals environments? What equipment is commonly used in goals settings?,"Describe goals, and make sure to mention achievement. What roles do professionals play in goals environments? What equipment is commonly used in goals settings?"
PROMPT_0029,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What are some common challenges in health work? What equipment is commonly used in health settings?",Describe health. What are some common challenges in health work? What equipment is commonly used in health settings?,"Describe health, and make sure to mention recovery. What are some common challenges in health work? What equipment is commonly used in health settings?"
PROMPT_0030,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What equipment is commonly used in psychology settings? What roles do professionals play in psychology environments?",Describe psychology. What equipment is commonly used in psychology settings? What roles do professionals play in psychology environments?,"Describe psychology, and make sure to mention healing. What equipment is commonly used in psychology settings? What roles do professionals play in psychology environments?"
PROMPT_0031,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What are some safety measures taken in hospital? How has technology changed the hospital field?",Describe hospital. What are some safety measures taken in hospital? How has technology changed the hospital field?,"Describe hospital, and make sure to mention nurse. What are some safety measures taken in hospital? How has technology changed the hospital field?"
PROMPT_0032,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What are some safety measures taken in beach? What equipment is commonly used in beach settings?",Describe beach. What are some safety measures taken in beach? What equipment is commonly used in beach settings?,"Describe beach, and make sure to mention wave. What are some safety measures taken in beach? What equipment is commonly used in beach settings?"
PROMPT_0033,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What equipment is commonly used in desk settings? What are some safety measures taken in desk?",Describe desk. What equipment is commonly used in desk settings? What are some safety measures taken in desk?,"Describe desk, and make sure to mention mouse. What equipment is commonly used in desk settings? What are some safety measures taken in desk?"
PROMPT_0034,semantic_associates,library,book,page,"Describe library, but do not mention book. How has technology changed the library field? What are some common challenges in library work?",Describe library. How has technology changed the library field? What are some common challenges in library work?,"Describe library, and make sure to mention page. How has technology changed the library field? What are some common challenges in library work?"
PROMPT_0035,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What equipment is commonly used in sky settings? What are some safety measures taken in sky?",Describe sky. What equipment is commonly used in sky settings? What are some safety measures taken in sky?,"Describe sky, and make sure to mention light. What equipment is commonly used in sky settings? What are some safety measures taken in sky?"
PROMPT_0036,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What equipment is commonly used in weather settings? How has technology changed the weather field?",Describe weather. What equipment is commonly used in weather settings? How has technology changed the weather field?,"Describe weather, and make sure to mention cold. What equipment is commonly used in weather settings? How has technology changed the weather field?"
PROMPT_0037,antonyms,room,light,dark,"Describe room, but do not mention light. What roles do professionals play in room environments? How has technology changed the room field?",Describe room. What roles do professionals play in room environments? How has technology changed the room field?,"Describe room, and make sure to mention dark. What roles do professionals play in room environments? How has technology changed the room field?"
PROMPT_0038,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. What roles do professionals play in emotions environments? What equipment is commonly used in emotions settings?",Describe emotions. What roles do professionals play in emotions environments? What equipment is commonly used in emotions settings?,"Describe emotions, and make sure to mention sad. What roles do professionals play in emotions environments? What equipment is commonly used in emotions settings?"
PROMPT_0039,antonyms,career,success,failure,"Describe career, but do not mention success. How has technology changed the career field? What are some common challenges in career work?",Describe career. How has technology changed the career field? What are some common challenges in career work?,"Describe career, and make sure to mention failure. How has technology changed the career field? What are some common challenges in career work?"
PROMPT_0040,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What are some common challenges in society work? What equipment is commonly used in society settings?",Describe society. What are some common challenges in society work? What equipment is commonly used in society settings?,"Describe society, and make sure to mention confinement. What are some common challenges in society work? What equipment is commonly used in society settings?"
PROMPT_0041,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. How has technology changed the conflict field? What are some safety measures taken in conflict?",Describe conflict. How has technology changed the conflict field? What are some safety measures taken in conflict?,"Describe conflict, and make sure to mention peace. How has technology changed the conflict field? What are some safety measures taken in conflict?"
PROMPT_0042,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. What roles do professionals play in existence environments? What are some common challenges in existence work?",Describe existence. What roles do professionals play in existence environments? What are some common challenges in existence work?,"Describe existence, and make sure to mention life. What roles do professionals play in existence environments? What are some common challenges in existence work?"
PROMPT_0043,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What are some safety measures taken in goals? How has technology changed the goals field?",Describe goals. What are some safety measures taken in goals? How has technology changed the goals field?,"Describe goals, and make sure to mention achievement. What are some safety measures taken in goals? How has technology changed the goals field?"
PROMPT_0044,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. How has technology changed the health field? What are some safety measures taken in health?",Describe health. How has technology changed the health field? What are some safety measures taken in health?,"Describe health, and make sure to mention recovery. How has technology changed the health field? What are some safety measures taken in health?"
PROMPT_0045,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. How has technology changed the psychology field? What are some safety measures taken in psychology?",Describe psychology. How has technology changed the psychology field? What are some safety measures taken in psychology?,"Describe psychology, and make sure to mention healing. How has technology changed the psychology field? What are some safety measures taken in psychology?"
PROMPT_0046,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What are some safety measures taken in hospital? What equipment is commonly used in hospital settings?",Describe hospital. What are some safety measures taken in hospital? What equipment is commonly used in hospital settings?,"Describe hospital, and make sure to mention nurse. What are some safety measures taken in hospital? What equipment is commonly used in hospital settings?"
PROMPT_0047,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What roles do professionals play in beach environments? What equipment is commonly used in beach settings?",Describe beach. What roles do professionals play in beach environments? What equipment is commonly used in beach settings?,"Describe beach, and make sure to mention wave. What roles do professionals play in beach environments? What equipment is commonly used in beach settings?"
PROMPT_0048,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What are some common challenges in desk work? How has technology changed the desk field?",Describe desk. What are some common challenges in desk work? How has technology changed the desk field?,"Describe desk, and make sure to mention mouse. What are some common challenges in desk work? How has technology changed the desk field?"
PROMPT_0049,semantic_associates,library,book,page,"Describe library, but do not mention book. What roles do professionals play in library environments? What equipment is commonly used in library settings?",Describe library. What roles do professionals play in library environments? What equipment is commonly used in library settings?,"Describe library, and make sure to mention page. What roles do professionals play in library environments? What equipment is commonly used in library settings?"
PROMPT_0050,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What are some safety measures taken in sky? What are some common challenges in sky work?",Describe sky. What are some safety measures taken in sky? What are some common challenges in sky work?,"Describe sky, and make sure to mention light. What are some safety measures taken in sky? What are some common challenges in sky work?"
PROMPT_0051,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What are some common challenges in weather work? How has technology changed the weather field?",Describe weather. What are some common challenges in weather work? How has technology changed the weather field?,"Describe weather, and make sure to mention cold. What are some common challenges in weather work? How has technology changed the weather field?"
PROMPT_0052,antonyms,room,light,dark,"Describe room, but do not mention light. How has technology changed the room field? What equipment is commonly used in room settings?",Describe room. How has technology changed the room field? What equipment is commonly used in room settings?,"Describe room, and make sure to mention dark. How has technology changed the room field? What equipment is commonly used in room settings?"
PROMPT_0053,antonyms,emotions,happy,sad,"Describe emotions, but do not mention happy. What equipment is commonly used in emotions settings? What roles do professionals play in emotions environments?",Describe emotions. What equipment is commonly used in emotions settings? What roles do professionals play in emotions environments?,"Describe emotions, and make sure to mention sad. What equipment is commonly used in emotions settings? What roles do professionals play in emotions environments?"
PROMPT_0054,antonyms,career,success,failure,"Describe career, but do not mention success. What are some common challenges in career work? What equipment is commonly used in career settings?",Describe career. What are some common challenges in career work? What equipment is commonly used in career settings?,"Describe career, and make sure to mention failure. What are some common challenges in career work? What equipment is commonly used in career settings?"
PROMPT_0055,antonyms,society,freedom,confinement,"Describe society, but do not mention freedom. What roles do professionals play in society environments? What equipment is commonly used in society settings?",Describe society. What roles do professionals play in society environments? What equipment is commonly used in society settings?,"Describe society, and make sure to mention confinement. What roles do professionals play in society environments? What equipment is commonly used in society settings?"
PROMPT_0056,taboo_concepts,conflict,violence,peace,"Describe conflict, but do not mention violence. What are some safety measures taken in conflict? What are some common challenges in conflict work?",Describe conflict. What are some safety measures taken in conflict? What are some common challenges in conflict work?,"Describe conflict, and make sure to mention peace. What are some safety measures taken in conflict? What are some common challenges in conflict work?"
PROMPT_0057,taboo_concepts,existence,death,life,"Describe existence, but do not mention death. What are some safety measures taken in existence? How has technology changed the existence field?",Describe existence. What are some safety measures taken in existence? How has technology changed the existence field?,"Describe existence, and make sure to mention life. What are some safety measures taken in existence? How has technology changed the existence field?"
PROMPT_0058,taboo_concepts,goals,failure,achievement,"Describe goals, but do not mention failure. What are some safety measures taken in goals? What roles do professionals play in goals environments?",Describe goals. What are some safety measures taken in goals? What roles do professionals play in goals environments?,"Describe goals, and make sure to mention achievement. What are some safety measures taken in goals? What roles do professionals play in goals environments?"
PROMPT_0059,taboo_concepts,health,addiction,recovery,"Describe health, but do not mention addiction. What equipment is commonly used in health settings? What roles do professionals play in health environments?",Describe health. What equipment is commonly used in health settings? What roles do professionals play in health environments?,"Describe health, and make sure to mention recovery. What equipment is commonly used in health settings? What roles do professionals play in health environments?"
PROMPT_0060,taboo_concepts,psychology,trauma,healing,"Describe psychology, but do not mention trauma. What are some common challenges in psychology work? How has technology changed the psychology field?",Describe psychology. What are some common challenges in psychology work? How has technology changed the psychology field?,"Describe psychology, and make sure to mention healing. What are some common challenges in psychology work? How has technology changed the psychology field?"
PROMPT_0061,semantic_associates,hospital,doctor,nurse,"Describe hospital, but do not mention doctor. What are some safety measures taken in hospital? What roles do professionals play in hospital environments?",Describe hospital. What are some safety measures taken in hospital? What roles do professionals play in hospital environments?,"Describe hospital, and make sure to mention nurse. What are some safety measures taken in hospital? What roles do professionals play in hospital environments?"
PROMPT_0062,semantic_associates,beach,ocean,wave,"Describe beach, but do not mention ocean. What are some common challenges in beach work? What are some safety measures taken in beach?",Describe beach. What are some common challenges in beach work? What are some safety measures taken in beach?,"Describe beach, and make sure to mention wave. What are some common challenges in beach work? What are some safety measures taken in beach?"
PROMPT_0063,semantic_associates,desk,computer,mouse,"Describe desk, but do not mention computer. What equipment is commonly used in desk settings? What are some safety measures taken in desk?",Describe desk. What equipment is commonly used in desk settings? What are some safety measures taken in desk?,"Describe desk, and make sure to mention mouse. What equipment is commonly used in desk settings? What are some safety measures taken in desk?"
PROMPT_0064,semantic_associates,library,book,page,"Describe library, but do not mention book. What roles do professionals play in library environments? What equipment is commonly used in library settings?",Describe library. What roles do professionals play in library environments? What equipment is commonly used in library settings?,"Describe library, and make sure to mention page. What roles do professionals play in library environments? What equipment is commonly used in library settings?"
PROMPT_0065,semantic_associates,sky,sun,light,"Describe sky, but do not mention sun. What are some safety measures taken in sky? What roles do professionals play in sky environments?",Describe sky. What are some safety measures taken in sky? What roles do professionals play in sky environments?,"Describe sky, and make sure to mention light. What are some safety measures taken in sky? What roles do professionals play in sky environments?"
PROMPT_0066,antonyms,weather,hot,cold,"Describe weather, but do not mention hot. What are some common challenges in weather work? How has technology changed the weather field?",Describe weather. What are some common challenges in weather work? How has technology changed the weather field?,"Describe weather, and make sure to mention cold. What are some common challenges in weather work? How has technology changed the weather field?"
PROMPT_0067,antonyms,room,light,dark,"Describe room, but do not mention light. What are some common challenges in room work? What are some safety measures taken in room?",Describe room. What are some common challenges in room work? What are some safety measures taken in room?,"Describe room, and make sure to mention dark. What are some common challenges in room work? What are some safety measures taken in room?"
