id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-5.625,-23.625,-18.0,-10.375,car
1,-10.25,-27.0,-16.75,-23.625,table
2,-7.9375,-22.25,-14.3125,-16.25,rain
3,-3.875,-22.875,-19.0,-18.625,watch
4,-5.625,-25.5,-19.875,-12.4375,moon
5,-1.75,-27.0,-25.25,-19.25,cloth
6,-13.125,-26.625,-13.5,-14.75,deer
7,-2.0,-19.375,-17.375,-25.0,bee
8,-8.25,-26.625,-18.375,-17.125,cat
9,-3.875,-24.25,-20.375,-19.125,spoon
10,-9.0,-27.25,-18.25,-20.5,bird
11,0.125,-21.25,-21.375,-11.75,moon
12,-12.625,-32.5,-19.875,-17.25,box
13,-14.125,-30.25,-16.125,-15.5625,water
14,-4.25,-22.75,-18.5,-20.5,screw
15,-7.0,-25.875,-18.875,-18.75,sun
16,-15.9375,-28.875,-12.9375,-24.625,bag
17,-8.5,-28.75,-20.25,-17.25,house
18,-8.125,-28.875,-20.75,-15.4375,bed
19,2.375,-21.75,-24.125,-13.5625,star
20,-8.125,-27.75,-19.625,-15.0625,paper
21,-4.375,-21.75,-17.375,-18.0,flower
22,-10.125,-25.375,-15.25,-19.5,fox
23,-13.0,-27.25,-14.25,-14.9375,food
24,-8.25,-27.375,-19.125,-15.125,screw
25,-10.6875,-25.25,-14.5625,-14.375,flower
26,-2.5,-24.375,-21.875,-15.75,wall
27,-2.875,-29.0,-26.125,-8.25,knife
28,-12.8125,-28.625,-15.8125,-14.0625,book
29,-0.875,-24.75,-23.875,-15.375,wall
30,-3.375,-20.375,-17.0,-17.75,plate
31,-4.5,-24.25,-19.75,-22.0,shirt
32,-15.3125,-27.75,-12.4375,-14.4375,grass
33,-4.5,-24.5,-20.0,-15.75,table
34,-14.0,-30.25,-16.25,-18.375,watch
35,-13.875,-29.5,-15.625,-11.1875,bag
36,-10.875,-31.125,-20.25,-18.0,rope
37,-6.625,-25.25,-18.625,-17.0,fire
38,-5.375,-21.5,-16.125,-12.9375,flower
39,-4.625,-28.375,-23.75,-7.84375,house
40,-9.375,-29.75,-20.375,-16.875,ink
41,-12.375,-27.75,-15.375,-16.75,dog
42,-9.125,-24.75,-15.625,-9.875,screw
43,-19.8125,-35.25,-15.4375,-20.25,snow
44,-10.125,-23.625,-13.5,-13.8125,flower
45,-13.4375,-28.125,-14.6875,-14.75,window
46,-2.5,-25.875,-23.375,-15.9375,cloth
47,-16.5,-40.0,-23.5,-10.6875,cloth
48,-11.625,-30.25,-18.625,-17.875,leaf
49,-8.125,-30.25,-22.125,-16.625,bolt
50,-4.625,-27.125,-22.5,-12.125,knife
51,-22.9375,-34.75,-11.8125,-19.5,snow
52,-13.125,-32.0,-18.875,-13.1875,chair
53,-11.875,-28.75,-16.875,-16.75,sun
54,-4.0,-27.625,-23.625,-14.125,house
55,-6.375,-29.125,-22.75,-13.625,rock
56,-17.125,-29.875,-12.75,-18.375,fish
57,-4.0,-22.5,-18.5,-14.0,bird
58,-0.75,-20.5,-19.75,-17.5,cup
59,-4.25,-24.0,-19.75,-19.75,coin
60,-2.625,-21.0,-18.375,-16.625,wind
61,-2.5,-22.25,-19.75,-19.375,house
62,-2.875,-26.625,-23.75,-11.25,ant
63,-10.0,-28.5,-18.5,-17.375,cat
64,1.5,-26.0,-27.5,-14.3125,ant
65,-3.5,-27.875,-24.375,-16.0,fork
66,-14.875,-37.75,-22.875,-15.3125,roof
67,-2.0,-20.875,-18.875,-24.875,bird
68,3.0,-19.625,-22.625,-20.5,glass
69,-1.625,-22.125,-20.5,-13.75,dress
70,-13.375,-35.25,-21.875,-13.6875,star
71,-1.25,-21.25,-20.0,-13.375,box
72,-2.125,-21.375,-19.25,-15.875,ink
73,-9.75,-32.75,-23.0,-14.6875,star
74,1.125,-23.125,-24.25,-12.4375,spoon
75,-6.3125,-21.75,-15.4375,-19.0,wolf
76,-9.125,-26.75,-17.625,-22.625,sand
77,-16.625,-36.5,-19.875,-9.6875,roof
78,-13.375,-29.5,-16.125,-15.1875,food
79,-7.375,-25.875,-18.5,-17.625,fire
80,-8.375,-24.375,-16.0,-15.5625,moon
81,-10.625,-31.625,-21.0,-15.9375,dress
82,1.5,-19.25,-20.75,-18.625,bird
83,-6.5,-23.0,-16.5,-17.125,fish
84,-4.875,-24.125,-19.25,-18.125,coat
85,-9.625,-29.25,-19.625,-22.0,floor
86,-5.625,-27.0,-21.375,-12.9375,leaf
87,-16.875,-35.5,-18.625,-11.8125,bird
88,-1.75,-20.25,-18.5,-16.5,plate
89,-7.625,-28.75,-21.125,-19.75,stone
90,-15.25,-34.75,-19.5,-16.875,bird
91,-7.5625,-21.5,-13.9375,-16.875,lion
92,-4.375,-25.25,-20.875,-17.5,chair
93,-4.0,-24.875,-20.875,-19.875,table
94,-8.375,-27.25,-18.875,-22.75,sun
95,-8.1875,-23.5,-15.3125,-17.125,window
96,-17.375,-32.25,-14.875,-17.875,chair
97,-3.5,-26.25,-22.75,-9.9375,rock
98,-7.25,-26.375,-19.125,-20.5,paper
99,-3.75,-17.125,-13.375,-13.9375,dog
100,-17.6875,-33.25,-15.5625,-17.125,food
101,-2.0,-26.375,-24.375,-13.4375,cloth
102,-3.25,-24.625,-21.375,-16.5,bowl
103,-7.5,-27.25,-19.75,-12.0625,hat
104,-13.375,-30.625,-17.25,-11.5,coin
105,-6.0,-24.125,-18.125,-12.75,nail
106,-6.8125,-21.75,-14.9375,-17.0,rain
107,-10.5625,-24.375,-13.8125,-14.875,snow
108,-10.25,-33.25,-23.0,-19.875,wall
109,0.875,-22.5,-23.375,-14.25,spoon
110,-0.125,-26.0,-25.875,-19.625,cloth
111,-15.25,-32.0,-16.75,-13.6875,fire
112,-2.875,-23.625,-20.75,-16.0,roof
113,-9.25,-33.0,-23.75,-12.4375,fork
114,-15.25,-27.875,-12.625,-18.625,flower
115,-10.625,-28.125,-17.5,-24.375,watch
116,-14.6875,-28.875,-14.1875,-16.625,snow
117,-4.5,-26.25,-21.75,-17.875,bolt
118,-12.625,-30.25,-17.625,-19.25,grass
119,-7.875,-25.0,-17.125,-22.0,water
120,-7.75,-26.375,-18.625,-20.25,water
121,-8.125,-29.25,-21.125,-17.0,table
122,-0.75,-24.0,-23.25,-10.3125,box
123,-4.25,-24.375,-20.125,-9.5625,leaf
124,-0.375,-18.125,-17.75,-21.0,bear
125,-10.4375,-26.125,-15.6875,-16.75,bear
126,-5.0,-25.375,-20.375,-17.625,dress
127,-1.0,-22.875,-21.875,-20.25,wall
128,0.25,-23.5,-23.75,-19.0,shoe
129,-13.75,-32.25,-18.5,-15.4375,bee
130,-3.0,-24.25,-21.25,-16.25,bowl
131,-8.125,-29.0,-20.875,-15.25,bee
132,-9.125,-25.625,-16.5,-16.875,pants
133,-11.375,-30.75,-19.375,-7.875,house
134,-4.375,-24.75,-20.375,-21.0,rope
135,-13.25,-32.75,-19.5,-17.25,car
136,-10.25,-26.5,-16.25,-20.875,bear
137,-4.875,-23.375,-18.5,-13.75,book
138,-5.875,-26.125,-20.25,-15.875,bowl
139,1.25,-19.75,-21.0,-9.5,key
