id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-4.5,-34.25,-29.75,-20.0,car
1,3.5,-23.625,-27.125,-30.875,table
2,8.25,-26.0,-34.25,-40.25,rain
3,9.375,-26.375,-35.75,-22.5,watch
4,2.75,-33.25,-36.0,-27.0,moon
5,5.0,-25.875,-30.875,-28.125,cloth
6,-0.75,-27.25,-26.5,-28.75,deer
7,-0.125,-26.375,-26.25,-29.25,bee
8,10.75,-23.0,-33.75,-31.125,cat
9,0.375,-27.625,-28.0,-12.1875,spoon
10,6.375,-21.375,-27.75,-29.25,bird
11,7.75,-32.0,-39.75,-25.25,moon
12,-1.25,-26.625,-25.375,-28.0,box
13,-2.5,-32.25,-29.75,-30.625,water
14,-0.25,-27.125,-26.875,-31.0,screw
15,16.125,-22.625,-38.75,-27.875,sun
16,-0.875,-22.5,-21.625,-19.5,bag
17,13.0,-24.25,-37.25,-29.375,house
18,10.625,-29.625,-40.25,-32.5,bed
19,2.375,-25.125,-27.5,-30.375,star
20,3.875,-26.0,-29.875,-28.75,paper
21,10.25,-25.75,-36.0,-33.75,flower
22,-2.875,-27.0,-24.125,-21.875,fox
23,5.25,-28.25,-33.5,-26.75,food
24,-2.875,-24.5,-21.625,-34.0,screw
25,-6.125,-31.125,-25.0,-29.0,flower
26,-3.0,-30.125,-27.125,-29.375,wall
27,6.625,-25.25,-31.875,-24.375,knife
28,0.125,-30.375,-30.5,-21.0,book
29,4.25,-33.0,-37.25,-29.875,wall
30,1.75,-32.0,-33.75,-26.875,plate
31,-4.875,-28.625,-23.75,-31.0,shirt
32,1.625,-24.0,-25.625,-23.875,grass
33,2.0,-28.375,-30.375,-31.75,table
34,-2.125,-25.625,-23.5,-31.875,watch
35,-9.625,-37.25,-27.625,-24.75,bag
36,5.875,-28.625,-34.5,-29.25,rope
37,7.875,-27.625,-35.5,-32.5,fire
38,2.875,-30.125,-33.0,-25.5,flower
39,-5.0,-38.5,-33.5,-26.625,house
40,4.0,-27.125,-31.125,-28.75,ink
41,8.5,-25.75,-34.25,-34.75,dog
42,-2.25,-28.25,-26.0,-26.125,screw
43,0.375,-25.125,-25.5,-26.5,snow
44,-8.125,-36.25,-28.125,-23.0,flower
45,4.5,-25.75,-30.25,-24.375,window
46,2.875,-31.125,-34.0,-28.0,cloth
47,5.125,-28.625,-33.75,-27.625,cloth
48,-1.75,-27.75,-26.0,-31.0,leaf
49,-6.375,-35.5,-29.125,-34.75,bolt
50,4.0,-25.25,-29.25,-25.5,knife
51,0.75,-25.25,-26.0,-23.5,snow
52,-7.5,-31.375,-23.875,-29.125,chair
53,12.875,-29.625,-42.5,-30.5,sun
