id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-6.5625,-15.1875,-8.625,-9.125,car
1,-1.75,-10.4375,-8.6875,-8.5625,table
2,-5.25,-13.5,-8.25,-16.25,rain
3,0.25,-13.125,-13.375,-10.625,watch
4,-2.8125,-12.9375,-10.125,-14.375,moon
5,-3.8125,-13.875,-10.0625,-7.875,cloth
6,-6.0,-12.6875,-6.6875,-11.4375,deer
7,0.4375,-14.5,-14.9375,-13.8125,bee
8,-1.3125,-11.875,-10.5625,-9.9375,cat
9,-5.625,-13.625,-8.0,-12.875,spoon
10,6.0625,-9.4375,-15.5,-9.375,bird
11,-3.0625,-12.375,-9.3125,-10.4375,moon
12,-2.125,-14.75,-12.625,-9.0,box
13,-4.5,-13.25,-8.75,-11.125,water
14,3.96875,-6.15625,-10.125,-8.3125,screw
15,2.6875,-8.1875,-10.875,-8.5,sun
16,-1.125,-12.4375,-11.3125,-11.5,bag
17,-0.6875,-15.125,-14.4375,-7.84375,house
18,1.0625,-11.9375,-13.0,-9.5,bed
19,-0.34375,-8.0625,-7.71875,-14.4375,star
20,-7.1875,-15.4375,-8.25,-13.3125,paper
21,-8.0,-14.1875,-6.1875,-9.1875,flower
22,-8.34375,-16.0,-7.65625,-9.0625,fox
23,-0.75,-13.5,-12.75,-5.96875,food
24,-4.3125,-13.0625,-8.75,-10.875,screw
25,-4.5625,-15.9375,-11.375,-13.0625,flower
26,0.9375,-13.5625,-14.5,-13.375,wall
27,-4.625,-15.8125,-11.1875,-8.3125,knife
28,-0.875,-15.25,-14.375,-9.5,book
29,-5.875,-14.8125,-8.9375,-8.0,wall
30,-3.75,-13.375,-9.625,-8.0625,plate
31,-5.78125,-13.4375,-7.65625,-11.1875,shirt
32,-4.875,-13.875,-9.0,-8.875,grass
33,-3.25,-15.0,-11.75,-11.5,table
34,1.1875,-12.625,-13.8125,-8.625,watch
35,-2.75,-13.3125,-10.5625,-10.25,bag
36,-7.1875,-16.0,-8.8125,-10.875,rope
37,-5.28125,-12.9375,-7.65625,-7.84375,fire
38,-10.0,-17.75,-7.75,-12.875,flower
39,-2.15625,-8.5625,-6.40625,-12.4375,house
