id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-4.75,-14.8125,-10.0625,-13.9375,car
1,1.25,-12.125,-13.375,-16.0,table
2,1.375,-11.1875,-12.5625,-12.4375,rain
3,4.0,-9.4375,-13.4375,-11.6875,watch
4,-1.1875,-16.125,-14.9375,-12.6875,moon
5,6.1875,-13.4375,-19.625,-15.1875,cloth
6,5.5,-12.0,-17.5,-14.0625,deer
7,1.0625,-14.375,-15.4375,-12.625,bee
8,-3.625,-15.75,-12.125,-11.25,cat
9,-3.1875,-16.375,-13.1875,-11.875,spoon
10,2.25,-12.3125,-14.5625,-12.9375,bird
11,-0.6875,-15.5,-14.8125,-12.9375,moon
12,-14.375,-28.5,-14.125,-15.3125,box
13,-4.4375,-15.6875,-11.25,-14.6875,water
14,-4.25,-13.8125,-9.5625,-11.4375,screw
15,-1.25,-13.75,-12.5,-13.0,sun
16,1.25,-12.0625,-13.3125,-15.25,bag
17,-0.9375,-14.125,-13.1875,-14.4375,house
18,1.25,-13.9375,-15.1875,-12.4375,bed
19,0.75,-13.6875,-14.4375,-14.6875,star
20,2.5625,-11.8125,-14.375,-13.0,paper
21,-1.375,-13.75,-12.375,-14.5,flower
22,-1.1875,-14.125,-12.9375,-15.3125,fox
23,-1.3125,-14.5,-13.1875,-12.3125,food
24,-4.25,-14.0625,-9.8125,-12.25,screw
25,-4.5,-16.75,-12.25,-15.4375,flower
26,-0.625,-12.3125,-11.6875,-14.6875,wall
27,3.8125,-11.875,-15.6875,-18.0,knife
28,-3.9375,-18.5,-14.5625,-14.4375,book
29,-2.4375,-14.3125,-11.875,-14.625,wall
30,3.0625,-13.5625,-16.625,-16.75,plate
31,-1.75,-17.125,-15.375,-12.4375,shirt
32,-2.5625,-14.5,-11.9375,-23.0,grass
33,-0.6875,-13.3125,-12.625,-17.5,table
34,-1.9375,-14.5625,-12.625,-18.75,watch
35,-1.1875,-15.4375,-14.25,-12.6875,bag
36,-1.625,-13.25,-11.625,-11.4375,rope
37,-2.0,-15.5,-13.5,-15.25,fire
38,-1.8125,-13.875,-12.0625,-14.4375,flower
39,-0.6875,-13.9375,-13.25,-17.875,house
40,2.5,-14.75,-17.25,-15.5,ink
41,-2.25,-16.0,-13.75,-15.4375,dog
42,-1.625,-11.9375,-10.3125,-15.8125,screw
43,0.4375,-13.6875,-14.125,-14.5,snow
44,-2.125,-14.5625,-12.4375,-9.75,flower
