id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-9.9375,-24.125,-14.1875,,car
1,-2.0,-22.125,-20.125,,table
2,1.75,-18.375,-20.125,,rain
3,6.0,-16.125,-22.125,,watch
4,-4.0,-20.125,-16.125,,moon
5,-2.0,-18.125,-16.125,,cloth
6,-15.9375,-30.0,-14.0625,,deer
7,-7.875,-20.375,-12.5,,bee
8,-10.125,-26.125,-16.0,,cat
9,-2.375,-20.375,-18.0,,spoon
10,-15.6875,-26.125,-10.4375,,bird
11,9.875,-24.125,-34.0,,moon
12,-19.75,-36.0,-16.25,,box
13,-11.8125,-26.0,-14.1875,,water
14,-4.0,-18.375,-14.375,,screw
15,-2.0,-20.25,-18.25,,sun
16,-15.875,-32.0,-16.125,,bag
17,3.875,-18.25,-22.125,,house
18,-17.625,-34.0,-16.375,,bed
19,16.5,-18.5,-35.0,,star
20,-1.75,-20.125,-18.375,,paper
21,-7.75,-26.0,-18.25,,flower
22,-7.875,-24.125,-16.25,,fox
23,-2.0,-22.125,-20.125,,food
24,-20.875,-35.0,-14.125,,screw
25,-8.0625,-20.5,-12.4375,,flower
26,-5.9375,-20.25,-14.3125,,wall
27,-4.125,-20.375,-16.25,,knife
28,-24.5625,-37.0,-12.4375,,book
29,-4.0,-24.125,-20.125,,wall
30,-4.25,-22.375,-18.125,,plate
31,-2.25,-20.375,-18.125,,shirt
32,-2.0,-22.125,-20.125,,grass
33,0.0,-20.125,-20.125,,table
34,-3.75,-20.125,-16.375,,watch
35,-6.125,-22.25,-16.125,,bag
36,-2.0,-22.125,-20.125,,rope
37,0.25,-20.125,-20.375,,fire
38,-4.5,-22.625,-18.125,,flower
39,16.0,-22.0,-38.0,,house
40,-5.9375,-20.25,-14.3125,,ink
41,-2.375,-20.5,-18.125,,dog
42,-0.5,-20.5,-20.0,,screw
43,-8.0,-24.125,-16.125,,snow
44,-8.0,-22.125,-14.125,,flower
45,-3.5,-24.0,-20.5,,window
46,-2.125,-22.25,-20.125,,cloth
47,-20.625,-37.0,-16.375,,cloth
48,-21.6875,-36.0,-14.3125,,leaf
49,-1.875,-24.0,-22.125,,bolt
50,-4.3125,-18.625,-14.3125,,knife
51,-5.75,-22.125,-16.375,,snow
52,-11.875,-32.0,-20.125,,chair
53,-19.75,-38.0,-18.25,,sun
54,-18.75,-35.0,-16.25,,house
55,-2.25,-20.375,-18.125,,rock
56,23.375,-22.125,-45.5,,fish
57,-9.9375,-20.125,-10.1875,,bird
58,12.875,-22.125,-35.0,,cup
59,-5.875,-24.0,-18.125,,coin
60,-4.3125,-18.375,-14.0625,-12.25,wind
61,-7.8125,-22.125,-14.3125,-28.0,house
62,-3.9375,-18.25,-14.3125,-10.3125,ant
63,-15.9375,-30.0,-14.0625,-14.125,cat
64,-11.9375,-22.375,-10.4375,-12.0625,ant
65,-4.0,-20.125,-16.125,-12.0625,fork
66,-7.75,-24.25,-16.5,-14.0625,roof
67,-10.0625,-22.25,-12.1875,-14.0625,bird
68,-2.375,-18.375,-16.0,-16.125,glass
69,1.5,-20.5,-22.0,-12.1875,dress
70,-9.875,-26.0,-16.125,-14.3125,star
71,-6.0,-22.125,-16.125,-24.0,box
72,-5.875,-20.125,-14.25,-25.0,ink
73,-6.125,-22.25,-16.125,-16.125,star
74,-4.0,-20.125,-16.125,-16.0,spoon
75,-1.75,-20.125,-18.375,-18.0,wolf
76,-12.125,-26.5,-14.375,-20.0,sand
77,-10.0,-26.125,-16.125,-16.125,roof
78,-0.125,-22.25,-22.125,-28.0,food
79,0.0,-18.125,-18.125,-22.0,fire
80,-6.125,-24.125,-18.0,-14.125,moon
81,2.0,-20.125,-22.125,-14.0625,dress
82,18.875,-22.125,-41.0,-14.375,bird
83,18.625,-22.375,-41.0,-18.125,fish
84,-4.125,-22.125,-18.0,-16.0,coat
85,-1.625,-18.125,-16.5,-14.0625,floor
86,-2.0,-18.125,-16.125,-31.0,leaf
87,-14.875,-33.0,-18.125,-12.125,bird
88,1.75,-16.5,-18.25,-16.125,plate
89,-5.75,-22.125,-16.375,-12.125,stone
90,-18.625,-33.0,-14.375,-14.125,bird
91,-4.5625,-18.75,-14.1875,-14.0625,lion
92,27.75,-20.25,-48.0,-16.125,chair
93,-4.0,-24.125,-20.125,-12.125,table
94,-5.75,-22.125,-16.375,-16.125,sun
95,-0.125,-20.25,-20.125,-18.125,window
96,-4.125,-24.25,-20.125,-12.1875,chair
97,1.75,-18.375,-20.125,-10.0625,rock
98,0.0,-18.375,-18.375,-22.0,paper
99,-9.9375,-22.375,-12.4375,-12.125,dog
100,5.875,-16.25,-22.125,-24.0,food
101,18.875,-22.125,-41.0,-26.0,cloth
102,-3.875,-22.25,-18.375,-14.0625,bowl
103,-9.8125,-22.125,-12.3125,-12.125,hat
104,-8.0,-24.125,-16.125,-16.0,coin
105,-3.125,-19.25,-16.125,-14.0625,nail
106,5.5,-16.625,-22.125,-12.125,rain
107,-4.0,-22.125,-18.125,-29.0,snow
108,-3.875,-20.25,-16.375,-18.0,wall
109,-10.0625,-24.25,-14.1875,-12.125,spoon
110,-4.5,-20.625,-16.125,-12.125,cloth
111,0.25,-20.125,-20.375,-26.0,fire
112,-2.125,-22.25,-20.125,-14.125,roof
113,-0.125,-20.125,-20.0,-32.5,fork
114,-3.75,-18.25,-14.5,-27.0,flower
115,-4.0,-20.125,-16.125,-14.0625,watch
116,-9.625,-26.0,-16.375,-12.25,snow
117,1.875,-22.25,-24.125,-27.0,bolt
118,-8.3125,-22.625,-14.3125,-14.0625,grass
119,-2.125,-20.375,-18.25,-30.0,water
120,-7.625,-24.0,-16.375,-14.125,water
121,-1.75,-22.125,-20.375,-16.125,table
122,-6.0,-18.375,-12.375,-16.0,box
123,-4.0,-20.125,-16.125,-16.125,leaf
124,-10.125,-20.25,-10.125,-12.1875,bear
125,-8.1875,-18.375,-10.1875,-12.1875,bear
126,-2.125,-22.25,-20.125,-18.0,dress
127,0.25,-20.0,-20.25,-14.0625,wall
192,-0.25,-16.5,-16.25,-18.0,sand
193,25.5,-18.5,-44.0,-12.125,fire
194,-4.25,-22.25,-18.0,-14.125,knife
195,-4.1875,-18.25,-14.0625,-14.0625,knife
196,-9.875,-24.125,-14.25,-25.0,roof
197,-4.0,-26.0,-22.0,-16.125,sun
198,7.625,-18.5,-26.125,-27.0,bolt
199,4.875,-24.125,-29.0,-25.0,bee
200,3.5,-18.625,-22.125,-12.0625,water
201,-2.125,-22.25,-20.125,-16.0,deer
202,-0.25,-22.25,-22.0,-25.0,chair
203,-2.125,-20.25,-18.125,-16.0,snow
204,0.0,-20.125,-20.125,-10.3125,ink
205,-5.875,-24.0,-18.125,-12.0625,hat
206,-6.0,-24.125,-18.125,-22.0,flower
207,-1.75,-18.125,-16.375,-25.0,car
208,0.0,-22.125,-22.125,-24.0,shirt
209,0.375,-22.125,-22.5,-33.0,food
210,-0.125,-20.125,-20.0,-18.375,rain
211,-6.375,-18.5,-12.125,-18.0,wind
212,-2.375,-22.5,-20.125,-10.0625,bowl
213,-4.25,-20.375,-16.125,-16.125,hat
214,-4.0625,-18.125,-14.0625,-18.125,dog
215,-4.0,-18.125,-14.125,-12.0,rain
216,13.0,-22.0,-35.0,-14.0625,paper
217,-0.375,-18.375,-18.0,-20.0,key
218,-2.125,-18.25,-16.125,-27.0,screw
219,-13.8125,-26.0,-12.1875,-10.1875,key
220,13.875,-22.125,-36.0,-16.125,knife
221,-8.0625,-20.5,-12.4375,-16.0,roof
222,-4.0,-20.25,-16.25,-14.3125,ink
223,-10.0,-26.125,-16.125,-18.0,spoon
224,-4.25,-20.25,-16.0,-16.0,knife
225,-10.375,-24.5,-14.125,-14.0625,bird
226,9.0,-34.0,-43.0,-12.125,spoon
227,-5.875,-22.0,-16.125,-32.0,dog
228,9.875,-24.125,-34.0,-16.0,sun
229,-1.875,-24.0,-22.125,-14.0625,metal
230,-9.875,-26.0,-16.125,-14.0,glass
231,-2.125,-24.125,-22.0,-14.0625,pen
232,16.625,-20.375,-37.0,-14.0,bed
233,-2.0,-26.125,-24.125,-18.0,table
234,-0.375,-18.375,-18.0,-12.0625,glass
235,2.0,-16.25,-18.25,-14.3125,watch
236,-0.125,-20.125,-20.0,-12.1875,box
237,0.25,-18.0,-18.25,-14.0625,wall
238,-0.25,-18.375,-18.125,-20.0,ant
239,-2.125,-22.25,-20.125,-14.25,plate
240,-0.5,-20.5,-20.0,-27.0,wolf
241,0.125,-16.25,-16.375,-33.0,roof
242,-2.25,-20.25,-18.0,-22.0,star
243,-11.9375,-26.25,-14.3125,-16.125,ant
244,8.0,-16.125,-24.125,-28.0,lamp
245,-2.0,-20.125,-18.125,-10.375,roof
246,-2.5,-20.625,-18.125,-14.0,bed
247,3.875,-20.25,-24.125,-25.0,metal
248,-2.0,-24.125,-22.125,-28.0,floor
249,-4.0,-20.125,-16.125,-18.0,coin
250,21.125,-24.875,-46.0,-14.0625,fire
251,5.75,-14.375,-20.125,-26.0,snow
252,-0.25,-22.375,-22.125,-12.0625,metal
253,5.75,-16.375,-22.125,-24.0,leaf
318,-7.75,-20.125,-12.375,-10.25,star
319,-4.0625,-18.5,-14.4375,-12.0,nail
