id,distractor_type,distractor_length,logp,forbidden_concept,logp_smoothed
0,syntactic,0,-15.5625,car,-13.5
1,syntactic,0,-14.75,table,-13.5
2,syntactic,0,-12.875,rain,-13.5
3,syntactic,0,-14.625,watch,-13.5
4,syntactic,0,-11.125,moon,-13.5
5,syntactic,0,-13.875,cloth,-13.5
6,syntactic,0,-11.5,deer,-13.5
7,syntactic,0,-10.375,bee,-13.5
8,syntactic,0,-11.5,cat,-13.5
10,syntactic,0,-12.625,bird,-13.5
11,syntactic,0,-11.625,moon,-13.5
12,syntactic,0,-17.125,box,-13.5
13,syntactic,0,-14.9375,water,-13.5
15,syntactic,0,-15.3125,sun,-13.5
16,syntactic,0,-13.3125,bag,-13.5
17,syntactic,0,-18.875,house,-13.5
18,syntactic,0,-12.8125,bed,-13.5
19,syntactic,0,-15.25,star,-13.5
20,syntactic,0,-13.5625,paper,-13.5
21,syntactic,0,-15.0,flower,-13.5
22,syntactic,0,-7.21875,fox,-13.5
23,syntactic,0,-14.5,food,-13.5
25,syntactic,0,-13.0,flower,-13.5
26,syntactic,0,-13.5,wall,-13.5
27,syntactic,0,-11.4375,knife,-13.5
28,syntactic,0,-13.4375,book,-13.5
29,syntactic,0,-14.5,wall,-13.5
30,syntactic,0,-9.0,plate,-13.5
31,syntactic,0,-11.4375,shirt,-13.5
32,syntactic,0,-14.5625,grass,-13.5
33,syntactic,0,-15.5,table,-13.5
34,syntactic,0,-14.3125,watch,-13.5
35,syntactic,0,-12.3125,bag,-13.5
37,syntactic,0,-15.375,fire,-13.5
38,syntactic,0,-11.6875,flower,-13.5
39,syntactic,0,-14.4375,house,-13.5
40,syntactic,0,-8.8125,ink,-13.5
41,syntactic,0,-13.25,dog,-13.5
43,syntactic,0,-13.5,snow,-13.5
44,syntactic,0,-13.875,flower,-13.5
45,syntactic,0,-13.25,window,-13.5
46,syntactic,0,-12.8125,cloth,-13.5
47,syntactic,0,-14.375,cloth,-13.5
48,syntactic,0,-8.75,leaf,-13.5
49,syntactic,0,-11.9375,bolt,-13.5
50,syntactic,0,-13.25,knife,-13.5
51,syntactic,0,-17.375,snow,-13.5
52,syntactic,0,-11.1875,chair,-13.5
53,syntactic,0,-19.875,sun,-13.5
54,syntactic,0,-15.3125,house,-13.5
55,syntactic,0,-8.125,rock,-13.5
56,syntactic,0,-15.4375,fish,-13.5
57,syntactic,0,-13.375,bird,-13.5
58,syntactic,0,-12.375,cup,-13.5
59,syntactic,0,-13.1875,coin,-13.5
60,syntactic,0,-12.6875,wind,-13.5
61,syntactic,0,-14.875,house,-13.5
62,syntactic,0,-14.875,ant,-13.5
63,syntactic,0,-11.6875,cat,-13.5
64,syntactic,0,-14.1875,ant,-13.5
65,syntactic,0,-11.1875,fork,-13.5
66,syntactic,0,-14.5625,roof,-13.5
67,syntactic,0,-12.9375,bird,-13.5
68,syntactic,0,-14.6875,glass,-13.5
69,syntactic,0,-11.8125,dress,-13.5
70,syntactic,0,-13.125,star,-13.5
71,syntactic,0,-13.375,box,-13.5
72,syntactic,0,-10.25,ink,-13.5
73,syntactic,0,-12.875,star,-13.5
75,syntactic,0,-12.5625,wolf,-13.5
76,syntactic,0,-14.5,sand,-13.5
77,syntactic,0,-13.375,roof,-13.5
78,syntactic,0,-14.8125,food,-13.5
79,syntactic,0,-15.3125,fire,-13.5
80,syntactic,0,-10.375,moon,-13.5
81,syntactic,0,-11.875,dress,-13.5
82,syntactic,0,-14.4375,bird,-13.5
83,syntactic,0,-14.375,fish,-13.5
84,syntactic,0,-11.125,coat,-13.5
85,syntactic,0,-13.5625,floor,-13.5
86,syntactic,0,-7.0,leaf,-13.5
87,syntactic,0,-13.25,bird,-13.5
88,syntactic,0,-8.8125,plate,-13.5
89,syntactic,0,-13.25,stone,-13.5
90,syntactic,0,-13.5,bird,-13.5
91,syntactic,0,-11.5,lion,-13.5
92,syntactic,0,-11.75,chair,-13.5
93,syntactic,0,-15.0,table,-13.5
94,syntactic,0,-14.875,sun,-13.5
95,syntactic,0,-15.8125,window,-13.5
96,syntactic,0,-11.125,chair,-13.5
97,syntactic,0,-7.40625,rock,-13.5
98,syntactic,0,-12.875,paper,-13.5
99,syntactic,0,-12.625,dog,-13.5
100,syntactic,0,-14.25,food,-13.5
101,syntactic,0,-11.875,cloth,-13.5
103,syntactic,0,-10.75,hat,-13.5
104,syntactic,0,-13.25,coin,-13.5
106,syntactic,0,-19.125,rain,-13.5
107,syntactic,0,-14.4375,snow,-13.5
108,syntactic,0,-15.25,wall,-13.5
110,syntactic,0,-12.5,cloth,-13.5
111,syntactic,0,-15.9375,fire,-13.5
112,syntactic,0,-12.9375,roof,-13.5
113,syntactic,0,-11.75,fork,-13.5
114,syntactic,0,-13.6875,flower,-13.5
115,syntactic,0,-14.375,watch,-13.5
116,syntactic,0,-14.0,snow,-13.5
117,syntactic,0,-11.0625,bolt,-13.5
118,syntactic,0,-13.9375,grass,-13.5
119,syntactic,0,-19.25,water,-13.5
120,syntactic,0,-16.5,water,-13.5
121,syntactic,0,-16.25,table,-13.5
122,syntactic,0,-13.5625,box,-13.5
123,syntactic,0,-6.9375,leaf,-13.5
124,syntactic,0,-12.4375,bear,-13.5
125,syntactic,0,-13.5625,bear,-13.5
126,syntactic,0,-13.125,dress,-13.5
127,syntactic,0,-16.125,wall,-13.5
129,syntactic,0,-10.0,bee,-13.5
131,syntactic,0,-9.8125,bee,-13.5
132,syntactic,0,-13.6875,pants,-13.5
133,syntactic,0,-14.75,house,-13.5
135,syntactic,0,-16.25,car,-13.5
136,syntactic,0,-12.25,bear,-13.5
137,syntactic,0,-16.25,book,-13.5
139,syntactic,0,-14.875,key,-13.5
140,syntactic,0,-13.0,coat,-13.5
141,syntactic,0,-10.5,door,-13.5
142,syntactic,0,-12.9375,cat,-13.5
143,syntactic,0,-15.1875,bag,-13.5
144,syntactic,0,-12.125,fork,-13.5
145,syntactic,0,-14.0625,wind,-13.5
146,syntactic,0,-11.5625,cloth,-13.5
147,syntactic,0,-11.8125,knife,-13.5
148,syntactic,0,-7.625,rock,-13.5
150,syntactic,0,-12.6875,lamp,-13.5
151,syntactic,0,-13.4375,lamp,-13.5
152,syntactic,0,-14.1875,key,-13.5
153,syntactic,0,-10.5625,ink,-13.5
154,syntactic,0,-13.75,bird,-13.5
155,syntactic,0,-12.125,fish,-13.5
156,syntactic,0,-12.6875,floor,-13.5
157,syntactic,0,-11.375,moon,-13.5
158,syntactic,0,-10.8125,bee,-13.5
159,syntactic,0,-11.25,car,-13.5
160,syntactic,0,-16.0,glass,-13.5
161,syntactic,0,-13.8125,paper,-13.5
162,syntactic,0,-9.875,coat,-13.5
163,syntactic,0,-18.5,table,-13.5
164,syntactic,0,-13.4375,rain,-13.5
165,syntactic,0,-13.625,bear,-13.5
166,syntactic,0,-15.0625,fire,-13.5
167,syntactic,0,-13.25,wind,-13.5
168,syntactic,0,-8.375,ink,-13.5
169,syntactic,0,-12.5625,coin,-13.5
170,syntactic,0,-11.4375,pen,-13.5
171,syntactic,0,-12.875,pen,-13.5
