id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-6.375,-15.125,-8.75,,car
1,-2.3125,-11.0625,-8.75,-8.625,table
2,-5.46875,-13.4375,-7.96875,-16.25,rain
4,-3.1875,-12.875,-9.6875,-14.375,moon
5,-4.1875,-13.8125,-9.625,-7.78125,cloth
7,0.6875,-14.4375,-15.125,-10.75,bee
8,-1.0,-11.6875,-10.6875,-9.9375,cat
10,4.875,-9.4375,-14.3125,-8.9375,bird
11,-2.9375,-12.3125,-9.375,-10.25,moon
12,-2.9375,-14.6875,-11.75,-9.375,box
13,-4.125,-12.9375,-8.8125,-11.125,water
16,4.25,-11.875,-16.125,-11.6875,bag
17,-0.5625,-15.125,-14.5625,-7.84375,house
18,-2.0,-11.875,-9.875,-10.0,bed
20,-6.5625,-15.3125,-8.75,-13.375,paper
21,-7.84375,-14.0625,-6.21875,-8.9375,flower
22,-8.34375,-16.0,-7.65625,-9.75,fox
23,-0.5,-13.375,-12.875,-5.90625,food
25,-4.625,-16.0,-11.375,-13.1875,flower
26,0.5625,-13.6875,-14.25,-13.3125,wall
27,-5.3125,-16.5,-11.1875,,knife
28,-1.0625,-15.25,-14.1875,-9.75,book
29,-6.0625,-14.75,-8.6875,,wall
30,-3.4375,-13.4375,-10.0,-8.0,plate
31,-4.625,-13.375,-8.75,-11.1875,shirt
32,-4.5625,-13.8125,-9.25,-9.0,grass
33,-3.0625,-14.9375,-11.875,-11.625,table
34,1.0625,-12.75,-13.8125,-8.6875,watch
35,-2.8125,-13.3125,-10.5,-9.9375,bag
37,-5.1875,-13.0625,-7.875,-10.5,fire
38,-9.8125,-17.75,-7.9375,-13.1875,flower
40,-7.5625,-14.5625,-7.0,-6.28125,ink
44,-3.75,-14.875,-11.125,-8.4375,flower
45,-6.875,-16.375,-9.5,-10.25,window
46,-5.375,-14.8125,-9.4375,,cloth
47,-1.6875,-12.8125,-11.125,-7.75,cloth
48,-0.125,-11.5,-11.375,-13.4375,leaf
49,0.375,-12.9375,-13.3125,-7.59375,bolt
52,-5.15625,-13.0625,-7.90625,-4.5,chair
53,-0.625,-13.0625,-12.4375,-12.8125,sun
55,-1.5,-12.625,-11.125,-12.4375,rock
56,-2.4375,-13.0625,-10.625,-13.5625,fish
57,-5.4375,-14.0625,-8.625,-8.6875,bird
58,-6.8125,-15.875,-9.0625,-9.9375,cup
59,-4.625,-14.4375,-9.8125,-14.125,coin
61,-0.5625,-12.0625,-11.5,-10.375,house
64,-9.03125,-16.375,-7.34375,-8.8125,ant
65,0.0,-10.25,-10.25,-13.6875,fork
67,-1.0625,-13.0625,-12.0,-11.0,bird
69,-2.1875,-12.8125,-10.625,-12.9375,dress
70,-5.3125,-13.3125,-8.0,-11.0625,star
71,-5.75,-15.9375,-10.1875,-10.6875,box
72,-6.0625,-15.875,-9.8125,-9.5625,ink
73,-0.8125,-12.625,-11.8125,-11.0,star
75,-5.46875,-11.5625,-6.09375,-9.25,wolf
78,-1.6875,-15.625,-13.9375,-7.34375,food
79,3.375,-10.6875,-14.0625,-6.6875,fire
80,-4.625,-14.0,-9.375,-8.9375,moon
81,2.0625,-11.125,-13.1875,-13.8125,dress
82,-5.625,-14.125,-8.5,,bird
83,-10.6875,-14.5,-3.8125,-13.6875,fish
85,-4.8125,-15.0,-10.1875,-14.75,floor
87,0.8125,-11.125,-11.9375,-14.5,bird
88,-2.75,-12.3125,-9.5625,-10.0,plate
89,-3.5625,-11.75,-8.1875,-11.375,stone
92,-6.46875,-14.0,-7.53125,-6.96875,chair
93,-6.625,-16.625,-10.0,-13.5625,table
95,-6.875,-16.125,-9.25,-10.0625,window
96,-3.9375,-12.75,-8.8125,-14.4375,chair
97,-0.5,-10.625,-10.125,,rock
98,-0.125,-9.9375,-9.8125,-5.96875,paper
99,-3.75,-12.5625,-8.8125,-16.5,dog
100,-3.75,-14.5,-10.75,-9.1875,food
101,-3.875,-14.875,-11.0,-7.09375,cloth
102,-8.0,-16.5,-8.5,-10.9375,bowl
103,-1.0,-10.9375,-9.9375,-12.3125,hat
106,-0.0625,-12.375,-12.3125,,rain
110,-1.5625,-13.9375,-12.375,-13.3125,cloth
111,-1.125,-14.25,-13.125,-5.90625,fire
113,-7.1875,-13.125,-5.9375,,fork
114,-2.0625,-12.75,-10.6875,-9.5625,flower
115,-3.5625,-12.75,-9.1875,,watch
117,-2.5625,-11.4375,-8.875,,bolt
118,-2.6875,-11.875,-9.1875,-12.6875,grass
119,-5.40625,-13.0,-7.59375,-8.4375,water
121,-6.78125,-13.9375,-7.15625,-10.875,table
122,-2.875,-12.875,-10.0,-11.75,box
124,-10.59375,-16.125,-5.53125,-16.375,bear
125,-6.5625,-14.5625,-8.0,-12.625,bear
126,-6.71875,-12.4375,-5.71875,-7.375,dress
127,3.0,-8.875,-11.875,-8.1875,wall
130,-1.875,-12.8125,-10.9375,-13.875,bowl
132,-3.5625,-15.375,-11.8125,-9.75,pants
133,-1.0,-11.5625,-10.5625,,house
136,0.25,-14.25,-14.5,-10.5,bear
137,-1.125,-15.4375,-14.3125,-13.25,book
138,0.125,-11.4375,-11.5625,-11.0,bowl
139,-2.1875,-11.5625,-9.375,-7.75,key
140,-0.9375,-15.125,-14.1875,-14.4375,coat
142,-5.25,-13.1875,-7.9375,,cat
144,2.1875,-9.625,-11.8125,-13.3125,fork
145,-0.25,-12.3125,-12.0625,-12.5625,wind
146,-2.375,-14.9375,-12.5625,-14.4375,cloth
147,-6.125,-16.125,-10.0,-5.375,knife
148,0.0625,-9.375,-9.4375,-10.0625,rock
152,-0.25,-13.75,-13.5,-13.0,key
154,0.125,-12.375,-12.5,,bird
155,-0.625,-11.9375,-11.3125,-8.4375,fish
156,-0.625,-15.5,-14.875,-13.8125,floor
157,1.0625,-13.25,-14.3125,-14.25,moon
158,-3.46875,-10.5625,-7.09375,-6.125,bee
160,-0.8125,-13.6875,-12.875,-9.3125,glass
161,-3.0625,-13.75,-10.6875,-12.9375,paper
163,-2.125,-11.3125,-9.1875,-10.875,table
164,-4.875,-15.5,-10.625,-15.125,rain
165,-3.0625,-15.0,-11.9375,-11.375,bear
166,-2.5625,-15.1875,-12.625,-7.9375,fire
167,1.8125,-10.5,-12.3125,-13.3125,wind
168,-1.8125,-12.9375,-11.125,-7.375,ink
169,-1.5,-12.5,-11.0,-11.0,coin
170,-3.75,-12.375,-8.625,-11.4375,pen
171,-7.3125,-14.9375,-7.625,,pen
174,-7.40625,-13.75,-6.34375,-15.9375,food
175,-3.3125,-15.4375,-12.125,-12.0,chair
176,0.0,-13.9375,-13.9375,-9.25,plate
179,-0.25,-14.625,-14.375,-8.0,bird
180,-5.8125,-14.75,-8.9375,-11.5,dress
181,-3.0,-13.1875,-10.1875,,ring
182,-9.65625,-16.125,-6.46875,-8.5625,ring
185,-3.8125,-14.9375,-11.125,-11.125,ring
186,-6.8125,-15.8125,-9.0,-13.4375,metal
187,-7.3125,-16.0,-8.6875,-5.3125,key
188,-3.8125,-13.125,-9.3125,-13.4375,coat
189,-4.8125,-15.3125,-10.5,-11.5625,fish
191,-4.125,-13.3125,-9.1875,,car
193,-7.03125,-14.0,-6.96875,-10.9375,fire
194,-4.375,-12.875,-8.5,-11.4375,knife
195,-2.125,-14.5625,-12.4375,-11.0,knife
198,-0.75,-14.3125,-13.5625,-13.8125,bolt
199,-6.1875,-14.4375,-8.25,-8.625,bee
