id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,-3.125,-17.625,-14.5,-20.125,car
1,39.6875,-13.8125,-53.5,-14.0,table
2,8.625,-8.375,-17.0,-15.875,rain
3,6.625,-8.6875,-15.3125,-16.375,watch
4,0.0,-17.75,-17.75,-17.25,moon
5,4.3125,-13.8125,-18.125,-18.0,cloth
6,-31.3125,-43.0,-11.6875,-16.875,deer
7,-4.75,-22.125,-17.375,-13.5625,bee
8,-5.125,-19.125,-14.0,-16.75,cat
9,31.25,-17.25,-48.5,-11.5625,spoon
10,7.1875,-11.3125,-18.5,-46.5,bird
11,-1.0,-17.875,-16.875,-18.125,moon
12,-26.6875,-42.5,-15.8125,-19.625,box
13,-5.0,-20.75,-15.75,-11.9375,water
14,-9.0625,-18.375,-9.3125,-53.75,screw
15,3.375,-13.75,-17.125,-46.75,sun
16,-30.125,-46.5,-16.375,-18.5,bag
17,0.125,-17.25,-17.375,-45.5,house
18,-27.625,-45.0,-17.375,-49.75,bed
19,-5.5625,-20.875,-15.3125,-13.75,star
20,-1.0625,-15.125,-14.0625,-15.9375,paper
21,-2.625,-18.125,-15.5,-19.0,flower
22,35.625,-16.875,-52.5,-50.25,fox
23,-2.25,-17.375,-15.125,-13.0,food
24,-2.5,-50.0,-47.5,-18.0,screw
25,-0.875,-16.25,-15.375,-19.0,flower
26,-0.5625,-16.0,-15.4375,-16.25,wall
27,3.1875,-15.8125,-19.0,-12.375,knife
28,-38.75,-52.0,-13.25,-51.0,book
29,-5.3125,-21.125,-15.8125,-14.0625,wall
30,29.0,-18.0,-47.0,-15.375,plate
31,33.125,-16.875,-50.0,-16.0,shirt
32,3.0,-46.5,-49.5,-45.25,grass
33,-33.4375,-45.25,-11.8125,-14.1875,table
34,-4.1875,-17.25,-13.0625,-17.875,watch
35,-31.625,-48.75,-17.125,-17.5,bag
36,4.0625,-12.9375,-17.0,-17.5,rope
37,-33.375,-51.5,-18.125,-15.9375,fire
