id,distractor_type,distractor_length,logp,forbidden_concept,logp_smoothed
0,syntactic,0,-12.5625,car,-11.49815203208261
1,syntactic,0,-12.875,table,-11.49815203208261
2,syntactic,0,-14.3125,rain,-11.49815203208261
3,syntactic,0,-7.375,watch,-11.49815203208261
4,syntactic,0,-9.1875,moon,-11.49815203208261
5,syntactic,0,-12.75,cloth,-11.49815203208261
6,syntactic,0,-13.6875,deer,-11.49815203208261
7,syntactic,0,-8.625,bee,-11.49815203208261
8,syntactic,0,-8.6875,cat,-11.49815203208261
9,syntactic,0,-13.625,spoon,-11.49815203208261
10,syntactic,0,-11.125,bird,-11.49815203208261
11,syntactic,0,-7.15625,moon,-11.49815203208261
12,syntactic,0,-9.125,box,-11.49815203208261
13,syntactic,0,-12.9375,water,-11.49815203208261
14,syntactic,0,-10.5625,screw,-11.49815203208261
15,syntactic,0,-13.5,sun,-11.49815203208261
16,syntactic,0,-11.6875,bag,-11.49815203208261
17,syntactic,0,-9.5,house,-11.49815203208261
18,syntactic,0,-15.1875,bed,-11.49815203208261
19,syntactic,0,-9.1875,star,-11.49815203208261
20,syntactic,0,-12.5,paper,-11.49815203208261
21,syntactic,0,-15.125,flower,-11.49815203208261
22,syntactic,0,-9.625,fox,-11.49815203208261
23,syntactic,0,-13.0,food,-11.49815203208261
24,syntactic,0,-10.6875,screw,-11.49815203208261
25,syntactic,0,-10.4375,flower,-11.49815203208261
26,syntactic,0,-13.125,wall,-11.49815203208261
27,syntactic,0,-12.9375,knife,-11.49815203208261
28,syntactic,0,-10.0625,book,-11.49815203208261
29,syntactic,0,-11.875,wall,-11.49815203208261
30,syntactic,0,-12.625,plate,-11.49815203208261
31,syntactic,0,-14.8125,shirt,-11.49815203208261
32,syntactic,0,-14.5625,grass,-11.49815203208261
33,syntactic,0,-14.5,table,-11.49815203208261
34,syntactic,0,-10.125,watch,-11.49815203208261
35,syntactic,0,-10.3125,bag,-11.49815203208261
36,syntactic,0,-15.9375,rope,-11.49815203208261
37,syntactic,0,-12.125,fire,-11.49815203208261
38,syntactic,0,-12.0,flower,-11.49815203208261
39,syntactic,0,-10.25,house,-11.49815203208261
40,syntactic,0,-13.25,ink,-11.49815203208261
41,syntactic,0,-13.5,dog,-11.49815203208261
42,syntactic,0,-9.625,screw,-11.49815203208261
43,syntactic,0,-10.375,snow,-11.49815203208261
44,syntactic,0,-12.5625,flower,-11.49815203208261
45,syntactic,0,-6.3125,window,-11.49815203208261
46,syntactic,0,-12.3125,cloth,-11.49815203208261
47,syntactic,0,-13.375,cloth,-11.49815203208261
