id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
0,8.8125,0.0,-8.8125,0.0,thing
1,12.1875,0.0,-12.1875,0.0,thing
2,13.0,0.0,-13.0,0.0,thing
3,13.0,0.0,-13.0,0.0,thing
4,10.5,0.0,-10.5,0.0,thing
5,13.0,0.0,-13.0,0.0,thing
6,13.0,0.0,-13.0,0.0,thing
7,13.0,0.0,-13.0,0.0,thing
8,8.8125,0.0,-8.8125,0.0,thing
9,13.0,0.0,-13.0,0.0,thing
10,8.8125,0.0,-8.8125,0.0,thing
11,8.8125,0.0,-8.8125,0.0,thing
12,12.1875,0.0,-12.1875,0.0,thing
13,10.5,0.0,-10.5,0.0,thing
14,12.1875,0.0,-12.1875,0.0,thing
15,8.8125,0.0,-8.8125,0.0,thing
16,8.8125,0.0,-8.8125,0.0,thing
17,13.0,0.0,-13.0,0.0,thing
18,13.0,0.0,-13.0,0.0,thing
19,8.8125,0.0,-8.8125,0.0,thing
20,10.5,0.0,-10.5,0.0,thing
21,8.8125,0.0,-8.8125,0.0,thing
22,8.8125,0.0,-8.8125,0.0,thing
23,8.8125,0.0,-8.8125,0.0,thing
24,8.8125,0.0,-8.8125,0.0,thing
25,8.8125,0.0,-8.8125,0.0,thing
26,8.8125,0.0,-8.8125,0.0,thing
27,8.8125,0.0,-8.8125,0.0,thing
28,8.8125,0.0,-8.8125,0.0,thing
29,12.1875,0.0,-12.1875,0.0,thing
30,8.8125,0.0,-8.8125,0.0,thing
31,12.1875,0.0,-12.1875,0.0,thing
32,10.5,0.0,-10.5,0.0,thing
33,8.8125,0.0,-8.8125,0.0,thing
34,8.8125,0.0,-8.8125,0.0,thing
35,8.8125,0.0,-8.8125,0.0,thing
36,8.8125,0.0,-8.8125,0.0,thing
37,12.1875,0.0,-12.1875,0.0,thing
38,8.8125,0.0,-8.8125,0.0,thing
39,8.8125,0.0,-8.8125,0.0,thing
40,13.0,0.0,-13.0,0.0,thing
41,8.8125,0.0,-8.8125,0.0,thing
42,10.5,0.0,-10.5,0.0,thing
43,8.8125,0.0,-8.8125,0.0,thing
44,8.8125,0.0,-8.8125,0.0,thing
45,8.8125,0.0,-8.8125,0.0,thing
46,8.8125,0.0,-8.8125,0.0,thing
47,12.1875,0.0,-12.1875,0.0,thing
48,13.0,0.0,-13.0,0.0,thing
49,8.8125,0.0,-8.8125,0.0,thing
50,10.5,0.0,-10.5,0.0,thing
51,8.8125,0.0,-8.8125,0.0,thing
52,13.0,0.0,-13.0,0.0,thing
53,13.0,0.0,-13.0,0.0,thing
54,13.0,0.0,-13.0,0.0,thing
55,13.0,0.0,-13.0,0.0,thing
56,13.0,0.0,-13.0,0.0,thing
57,12.1875,0.0,-12.1875,0.0,thing
58,13.0,0.0,-13.0,0.0,thing
59,12.1875,0.0,-12.1875,0.0,thing
60,8.8125,0.0,-8.8125,0.0,thing
61,8.8125,0.0,-8.8125,0.0,thing
62,12.1875,0.0,-12.1875,0.0,thing
63,8.8125,0.0,-8.8125,0.0,thing
64,13.0,0.0,-13.0,0.0,thing
65,13.0,0.0,-13.0,0.0,thing
66,8.8125,0.0,-8.8125,0.0,thing
67,12.1875,0.0,-12.1875,0.0,thing
68,13.0,0.0,-13.0,0.0,thing
69,8.8125,0.0,-8.8125,0.0,thing
70,13.0,0.0,-13.0,0.0,thing
71,12.1875,0.0,-12.1875,0.0,thing
72,8.8125,0.0,-8.8125,0.0,thing
73,10.5,0.0,-10.5,0.0,thing
74,8.8125,0.0,-8.8125,0.0,thing
75,8.8125,0.0,-8.8125,0.0,thing
76,10.5,0.0,-10.5,0.0,thing
77,10.5,0.0,-10.5,0.0,thing
78,8.8125,0.0,-8.8125,0.0,thing
79,8.8125,0.0,-8.8125,0.0,thing
80,8.8125,0.0,-8.8125,0.0,thing
81,10.5,0.0,-10.5,0.0,thing
82,13.0,0.0,-13.0,0.0,thing
83,12.1875,0.0,-12.1875,0.0,thing
84,13.0,0.0,-13.0,0.0,thing
85,8.8125,0.0,-8.8125,0.0,thing
86,8.8125,0.0,-8.8125,0.0,thing
87,8.8125,0.0,-8.8125,0.0,thing
88,12.1875,0.0,-12.1875,0.0,thing
89,13.0,0.0,-13.0,0.0,thing
90,12.1875,0.0,-12.1875,0.0,thing
91,8.8125,0.0,-8.8125,0.0,thing
92,13.0,0.0,-13.0,0.0,thing
93,13.0,0.0,-13.0,0.0,thing
94,8.8125,0.0,-8.8125,0.0,thing
95,8.8125,0.0,-8.8125,0.0,thing
96,8.8125,0.0,-8.8125,0.0,thing
97,10.5,0.0,-10.5,0.0,thing
98,8.8125,0.0,-8.8125,0.0,thing
99,12.1875,0.0,-12.1875,0.0,thing
100,8.8125,0.0,-8.8125,0.0,thing
101,8.8125,0.0,-8.8125,0.0,thing
102,13.0,0.0,-13.0,0.0,thing
103,8.8125,0.0,-8.8125,0.0,thing
104,8.8125,0.0,-8.8125,0.0,thing
105,12.1875,0.0,-12.1875,0.0,thing
106,10.5,0.0,-10.5,0.0,thing
107,10.5,0.0,-10.5,0.0,thing
108,8.8125,0.0,-8.8125,0.0,thing
109,12.1875,0.0,-12.1875,0.0,thing
110,12.1875,0.0,-12.1875,0.0,thing
111,12.1875,0.0,-12.1875,0.0,thing
112,8.8125,0.0,-8.8125,0.0,thing
113,10.5,0.0,-10.5,0.0,thing
